설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,572 ", 2 ," 1,574 ",9.34,8.31,1.02,8.31,99.9%,99.9%,89.0%,88.9%,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 3,030 ", - ," 3,030 ",16.62,16.39,0.23,13.05,100.0%,79.6%,98.6%,78.5%,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 8,480 ", - ," 8,480 ",16.66,16.50,0.15,14.13,100.0%,85.6%,99.1%,84.8%,85%,0
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,500 ", - ," 2,500 ",7.17,6.81,0.36,6.81,100.0%,100.0%,95.0%,95.0%,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 7,920 ", - ," 7,920 ",24.03,23.81,0.22,20.24,100.0%,85.0%,99.1%,84.2%,83%,"*주간 로보트 런너 취출 미스
→ 로보트 그리퍼 및 척 고정부 위치 조정"
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 7,800 ", - ," 7,800 ",16.67,14.62,2.05,12.57,100.0%,86.0%,87.7%,75.4%,84%,"*야간 형체 보호 스토퍼 알람
→ 스토퍼 간섭으로 인한 동작 이상
→ 솔벨브 에어라인 및 솔 작동성 점검 후 형개거리 조정"
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 10,320 ", - ," 10,320 ",20.68,20.43,0.25,16.63,100.0%,81.4%,98.8%,80.4%,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 12,360 ", - ," 12,360 ",24.00,24.00,0.00,20.60,100.0%,85.8%,100.0%,85.8%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,280 ", - ," 8,280 ",24.00,23.68,0.32,20.70,100.0%,87.4%,98.7%,86.3%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 23,800 ", 3 ," 23,803 ",21.33,20.87,0.46,18.51,100.0%,88.7%,97.8%,86.8%,87%,0
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 11,600 ", - ," 11,600 ",9.30,9.12,0.18,9.02,100.0%,98.9%,98.1%,97.0%,85%,0
21호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
22호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 18,900 ", - ," 18,900 ",21.66,21.28,0.38,21.00,100.0%,98.7%,98.3%,97.0%,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,476 ", - ," 9,476 ",20.67,20.24,0.43,19.22,100.0%,94.9%,97.9%,93.0%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 13,730 ", - ," 13,730 ",12.00,11.60,0.40,10.68,100.0%,92.1%,96.7%,89.0%,85%,0
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 3,708 ", - ," 3,708 ",10.33,10.11,0.23,6.80,100.0%,67.3%,97.8%,65.8%,85%,"*야간 시업 중 취출로보트와 리크검사부 하강 중 충돌
→ 로보트 원점 및 위치 전구간 재셋팅"
28호기 - 우진 150T,iMEB2 BOBBIN OV," 21,000 ", - ," 21,000 ",18.04,17.75,0.29,17.50,100.0%,98.6%,98.4%,97.0%,87%,0
29호기 - 우진 150T,RADOME," 9,018 ", - ," 9,018 ",24.08,23.96,0.12,23.05,100.0%,96.2%,99.5%,95.7%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN WSV," 14,200 ", - ," 14,200 ",12.30,12.05,0.25,11.83,100.0%,98.2%,97.9%,96.2%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 39,400 ", 20 ," 39,420 ",24.00,23.81,0.19,20.81,99.9%,87.4%,99.2%,86.7%,85%,"*주간 핀 누락 검사기 직진피더 진입부 제품 걸림
→ 25/8/25 최초 발생 이후 임시 패드 부착 후 가동 중
→ 제품 걸림 지속 발생에 따른 효율 저하. 점검 요청"
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 35,700 ", 30 ," 35,730 ",24.00,23.82,0.18,18.86,99.9%,79.2%,99.2%,78.5%,85%,"*주간 Cav.8 금형 내 핀 인서트 불량
→ 인서트로보트 핀 픽업 및 인서트 위치 조정"
35호기 - ARBURG 100T (자동),LK EV CMU BASE, 480 , - , 480 ,4.25,4.25,0.00,3.60,100.0%,84.8%,100.0%,84.8%,90%,*주간 재공품 Box 소진으로 설비 정지
