설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,424 ", - ," 1,424 ",8.386,7.523,0.863,7.516,100.0%,99.9%,89.7%,89.6%,87%,0
06호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,GEN4 EXHAUST RH," 1,304 ", 5 ," 1,309 ",9.437,6.918,2.519,6.909,99.6%,99.9%,73.3%,72.9%,85%,*야간 가동 중 Coil ass'y 공급 부족. Coil ass'y 확보
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,840 ", - ," 1,840 ",8.312,8.312,0,7.922,100.0%,95.3%,100.0%,95.3%,83%,0
10호기 - 원일 100T,LINK OVER MOLD," 8,200 ", - ," 8,200 ",24,24,0,20.5,100.0%,85.4%,100.0%,85.4%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 3,276 ", - ," 3,276 ",9.3,8.99,0.31,8.372,100.0%,93.1%,96.7%,90.0%,83%,0
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 8,272 ", - ," 8,272 ",16.674,16.442,0.232,13.327,100.0%,81.1%,98.6%,79.9%,84%,*야간 작업자 타공정(15호기) 지원
14호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 12,180 ", - ," 12,180 ",24.851,24.668,0.183,20.3,100.0%,82.3%,99.3%,81.7%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 2,840 ", - ," 2,840 ",8.329,8.04,0.289,7.1,100.0%,88.3%,96.5%,85.2%,86%,0
19호기 - JSW 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
20호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,600H M/CORE COVER CENTER," 19,656 ", 7 ," 19,663 ",9.501,8.288,1.213,8.193,100.0%,98.9%,87.2%,86.2%,87%,"*주간 비전 검사부 투입 지그에 제품 끼임. 수동 조치 후 가동
*주간 비전 검사부 투입 지그 동작 이상으로 가성 불량 다수 발생
→ 센서 및 작동성 점검
*주간 완제품 배열판 작동 중 흔들림
→ 고정 볼트 파손 확인. 고정볼트 교체
*야간 원자재 분리기 자재 이탈. 설비 점검"
