설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,300 ", 6 ," 1,306 ",9.09,6.90,2.20,6.89,99.5%,100.0%,75.8%,75.5%,87%,*주간 Coil ass'y 확보 후 가동
06호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,GEN4 EXHAUST RH," 1,002 ", - ," 1,002 ",8.33,6.72,1.60,5.29,100.0%,78.6%,80.8%,63.5%,85%,"*야간 실린더 작동 이상 알람
→ 이송 유닛 센서선 단선. 단선부 재연결
*야간 Coil ass'y 확보 후 가동
*야간 Cav.5, 6 커넥터부 Gas (2회)
→ 생산팀 슬라이드 탈거 후 청소. 금형보전팀 점검 요청"
09호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 5,840 ", - ," 5,840 ",12.33,12.16,0.17,11.13,100.0%,91.5%,98.6%,90.3%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 3,340 ", - ," 3,340 ",10.34,10.06,0.28,8.54,100.0%,84.8%,97.3%,82.5%,83%,0
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 7,380 ", 4 ," 7,384 ",15.67,13.47,2.20,11.90,99.9%,88.3%,86.0%,75.9%,84%,*주간 수지 건조기 이상으로 인한 설비 정지. 설비보전팀 점검
14호기 - MEW 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 10,980 ", - ," 10,980 ",24.00,21.64,2.36,18.30,100.0%,84.6%,90.2%,76.3%,84%,*주간 수지 건조기 이상으로 인한 설비 정지. 설비보전팀 점검
16호기 - 원일 120T,LINK OVER MOLD," 8,140 ", - ," 8,140 ",24.00,23.64,0.36,20.35,100.0%,86.1%,98.5%,84.8%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 24,608 ", - ," 24,608 ",22.33,22.33,0.00,19.14,100.0%,85.7%,100.0%,85.7%,87%,0
20호기 - MEW 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,600H M/CORE COVER L.V," 16,344 ", - ," 16,344 ",8.00,7.37,0.63,6.22,100.0%,84.4%,92.1%,77.8%,87%,"*주간 비전 검사부 지그 센서 작동 이상. 센서 위치 조정
*효율 미달 및 저하 관련 설비 트러블 현활 리스트 업 진행중
→ 현장관리자, 직접작업자 인터뷰 및 설비 모니터링"
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 3,600 ", - ," 3,600 ",5.96,5.50,0.46,5.50,100.0%,99.9%,92.3%,92.3%,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 9,180 ", - ," 9,180 ",10.73,10.49,0.24,10.20,100.0%,97.2%,97.8%,95.1%,90%,0
24호기 - 우진 220T,POWER PACK COVER (검사 전), 738 , - , 738 ,8.33,7.95,0.38,6.97,100.0%,87.6%,95.4%,83.6%,90%,0
