설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,401 ", 3 ," 1,404 ",8.8,7.4,1.3,7.4,99.8%,100.0%,84.7%,84.5%,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,TAS GEN2.0 ROTOR IS," 1,152 ", - ," 1,152 ",5.7,4.9,0.8,4.9,100.0%,100.0%,85.7%,85.7%,83.0%,
10호기 - 원일 100T,ROTOR OS SLEEVE," 8,160 ", - ," 8,160 ",16.3,16.2,0.2,13.6,100.0%,84.1%,99.0%,83.3%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 5,300 ", - ," 5,300 ",14.9,14.4,0.5,14.4,100.0%,100.0%,96.9%,96.9%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 7,604 ", - ," 7,604 ",23.5,23.5,0.0,19.4,100.0%,82.6%,100.0%,82.6%,83.0%,
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 11,640 ", - ," 11,640 ",23.5,23.0,0.5,18.8,100.0%,81.6%,97.7%,79.7%,84.0%,
14호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,84.0%,
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 12,300 ", - ," 12,300 ",23.5,23.5,0.0,20.5,100.0%,87.2%,100.0%,87.2%,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 2,380 ", - ," 2,380 ",12.0,11.2,0.8,6.0,100.0%,53.0%,93.6%,49.6%,86.0%,
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 25,100 ", 7 ," 25,107 ",23.5,22.9,0.6,19.5,100.0%,85.1%,97.6%,83.1%,87.0%,
20호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
21호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 4,800 ", - ," 4,800 ",8.1,7.8,0.3,7.3,100.0%,93.6%,96.1%,90.0%,90.0%,
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 9,360 ", - ," 9,360 ",10.9,10.9,0.0,10.4,100.0%,95.2%,100.0%,95.2%,90.0%,
24호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
25호기 - 우진 220T,MEB5 ESC COVER," 8,644 ", 14 ," 8,658 ",20.3,20.1,0.3,17.6,99.8%,87.5%,98.7%,86.2%,90.0%,
26호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 5,482 ", - ," 5,482 ",10.5,10.2,0.3,10.1,100.0%,98.5%,96.8%,95.4%,85.0%,
