설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
06호기 - 원일 150T,GEN4 EXHAUST LH," 2,890 ", 4 ," 2,894 ",16.32,15.42,0.90,15.27,99.9%,99.0%,94.5%,93.4%,87%,"*주간  Cav.9, 11 커넥터부 Gas
→ 금형 간이 청소 후 가동"
08호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
10호기 - 원일 100T,LINK OVER MOLD," 8,120 ", - ," 8,120 ",23.50,22.75,0.75,20.30,100.0%,89.2%,96.8%,86.4%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 2,448 ", - ," 2,448 ",10.34,9.50,0.85,6.26,100.0%,65.9%,91.8%,60.5%,83%,"*주간 2차 금형 Set-up 중 Cav.B, G 키부 Burr
→ 상측 금형 하차 후 수리
→ 상차후 Set-up 간 동증상 지속 발생. 셋업 정지. 1차 금형 기종 교체
*야간 1차 금형 상측 금형 런너 고착
→ 고착 런너 제거 후 가동"
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 11,640 ", - ," 11,640 ",23.52,22.95,0.57,18.75,100.0%,81.7%,97.6%,79.7%,84%,0
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 8,820 ", - ," 8,820 ",18.35,17.78,0.57,14.21,100.0%,79.9%,96.9%,77.5%,84%,0
15호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 6,540 ", - ," 6,540 ",14.00,12.32,1.68,10.90,100.0%,88.5%,88.0%,77.9%,84%,"*주간 Cav.17 댐퍼부 상단 파팅 Burr
→ 금형 점검"
16호기 - 원일 120T,LINK OVER MOLD," 5,780 ", - ," 5,780 ",16.33,16.33,0.00,14.45,100.0%,88.5%,100.0%,88.5%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 11,400 ", - ," 11,400 ",11.50,10.90,0.60,8.87,100.0%,81.3%,94.8%,77.1%,87%,"*주간 몰딩 플레이트 P.P 인덱스 공급 유닛 역방향 전환 이상 알람
→ 설비 점검"
20호기 - MEW 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 3,120 ", - ," 3,120 ",6.98,4.77,2.22,4.77,100.0%,100.0%,68.3%,68.3%,90%,"*주간 Cav.C 런너 뜯김
→ 상측 금형 하차 후 수리"
23호기 - ARBURG 200T,TAS GEN2.0 COVER," 6,030 ", - ," 6,030 ",7.15,6.71,0.44,6.70,100.0%,99.9%,93.9%,93.8%,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 10,560 ", 1 ," 10,561 ",23.51,23.51,0.00,21.42,100.0%,91.1%,100.0%,91.1%,90%,"*계량 시간 지연 건 설비 점검 (5/22) 이후 모니터링 현황
→ 설비보전팀 배압 벨브 청소 및 점검
→ 계랑 시간 14~15초 유지 확인. 지속 모니터링"
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 26,346 ", - ," 26,346 ",23.50,23.50,0.00,20.49,100.0%,87.2%,100.0%,87.2%,85%,0
27호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 7,300 ", - ," 7,300 ",7.87,7.49,0.38,6.08,100.0%,81.2%,95.2%,77.3%,87%,"*야간 Cav.3, 4, 6 핀 누락
→ 인서트로보트 위치 조정 및 배열판 청소"
29호기 - 우진 150T,SP2 PE 수밀 커버," 1,830 ", - ," 1,830 ",16.95,13.74,3.21,13.73,100.0%,99.9%,81.1%,81.0%,90%,"*주간 체결부 스크래치
→ 금형 해당부 크랙 확인. 하측 금형 하차 후 수리"
30호기 - 우진 150T,iMEB2 BOBBIN IV," 28,508 ", - ," 28,508 ",24.70,24.34,0.37,23.76,100.0%,97.6%,98.5%,96.2%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 38,200 ", 12 ," 38,212 ",23.50,23.23,0.27,20.17,100.0%,86.8%,98.9%,85.8%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 32,292 ", 46 ," 32,338 ",23.50,22.79,0.71,17.07,99.9%,74.9%,97.0%,72.5%,85%,"*야간 Cav.5 상측 금형 수지 고착
→ 미사출로 인한 핀 이중 삽입. 고착 수지 제거 후 가동"
35호기 - ARBURG 100T (자동),LK EV CMU COVER," 1,008 ", - ," 1,008 ",11.64,11.47,0.17,11.14,100.0%,97.2%,98.5%,95.7%,90%,*주간 금형 온도 센서 교체
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 10,000 ", - ," 10,000 ",5.63,5.42,0.21,5.28,100.0%,97.3%,96.4%,93.8%,85%,"*주간 공급기 배열판 원점 근접센서 파손
→ 센서 교체"
38호기 - ARBURG 100T (자동),ETC BRUSH HOLDER," 5,752 ", - ," 5,752 ",10.34,10.12,0.22,9.91,100.0%,97.9%,97.8%,95.8%,90%,0
39호기 - ZHAFIR 120T,PROTECTION CAP HP (신U 디젤)," 8,770 ", - ," 8,770 ",10.02,7.87,2.15,7.87,100.0%,99.9%,78.6%,78.5%,90%,"*주간 하측 금형 수치 고착
→ 하측 금형 하차 후 수리"
40호기 - ARBURG 200T (자동),KEV3 COVER QC_P (9144060696)," 5,480 ", - ," 5,480 ",12.70,12.59,0.11,12.18,100.0%,96.8%,99.1%,95.9%,87%,0
41호기 - 우진 220T (자동),KEV2 COVER 10.5 GL3 (9144060669)," 12,810 ", - ," 12,810 ",24.72,24.44,0.28,23.84,100.0%,97.5%,98.9%,96.4%,87%,0
42호기 - 우진 220T (자동),KEV3 COVER QC_P (9144060696)," 9,704 ", - ," 9,704 ",23.50,23.50,0.00,21.56,100.0%,91.8%,100.0%,91.8%,87%,0
43호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
44호기 - 우진 220T,IDB COVER ASS'Y," 1,435 ", - ," 1,435 ",7.50,7.21,0.29,6.74,100.0%,93.4%,96.2%,89.8%,87%,0
45호기 - 우진 220T,FE SVM HOUSING, 296 , - , 296 ,7.03,6.72,0.31,6.17,100.0%,91.7%,95.6%,87.7%,85%,0
46호기 - MEW 250T,SRR 40 HOUSING ASSY RL(N00.335-01)," 2,368 ", 6 ," 2,374 ",15.09,14.05,1.05,11.61,99.7%,82.6%,93.1%,76.7%,84%,"*주간 시업 중 융착기 전원 인가 중 프로그램 소실
→ 주말 공장 전기 셧다운 후 발생. 전원 재인가 후 정상 작동 확인
*주간 롱핀 취출 이상
→ 다관절로보트 핀 픽업 및 인서트 위치 조정"
47호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75%,0
48호기 - 원일 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
49호기 - ARBURG 300T,iMEB2 ECU HOUSING (필터융착)," 2,960 ", 6 ," 2,966 ",20.78,19.78,1.00,19.77,99.8%,100.0%,95.2%,95.0%,84%,*주간 비전 검사기 인터록 수정 관련 업체 내방 점검
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,063 ", 24 ," 3,087 ",20.29,19.78,0.51,17.58,99.2%,88.9%,97.5%,86.0%,87%,"*주간 시업 중 완제품 안착부 취출 및 안착 위치 틀어짐
→ 다관절로보트 픽업 및 인서트 위치 조정
*주간 공급부 모터핀 피더 공급 지연
→ 센서 노후로 인한 인식 불가. 센서 교체"
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,900 ", 2 ," 2,902 ",19.11,18.75,0.36,16.93,99.9%,90.3%,98.1%,88.5%,87%,0
52호기 - ARBURG 160T,IDB HOUSING MOLD," 1,603 ", 3 ," 1,606 ",20.33,18.46,1.87,15.17,99.8%,82.2%,90.8%,74.5%,85%,"*주간 Cav.1 6.3 M/P 커넥터 부 스크래치
→ 하측 금형 하차 후 수리
*주간 Cav.1 다관절로보트 인서트 알람 (4회)
→ 다관절로보트 핀 인서트 위치 조정 후 지속 발생
→ 점검 중 6.3 M/P 눌림 및 테이블 원점 틀어짐 확인
→ 테이블 원점 위치 재셋팅, 다관절로보트 인서트 위치 조정"
53호기 - 재피어 450T,iMEB3 ECU HOUSING_SYM(대칭형) (필터융착), 16 , 10 , 26 ,0.74,0.22,0.52,0.22,61.5%,100.0%,30.1%,18.6%,85%,"*주간 시업 중 HU G/P 휨 (눌림)
→ 전주 가동간 HU G/P 배열판 인서트 이상 및 금형 내 누락 이력
→ 다관절로보트 핀 픽업 및 인서트 위치 재조정
*주간 안전시간 초과알람
→ D코아 슬라이드 전진 완료 센서 인식 불가. 센서 및 센서선 교체
→ 코어 전후진 동작 이상 및 센서선 단선 지속 발생으로 근본 개선 필요
→ 형개폐 간 센서선 간섭 및 열로 인한 쇼트 발생 추정 (센서선 탄화 현상)
→ 금형 내측으로 센서선이 위치하고있어 조치 시간 증대
*주간 설비 점검 후 가동 중 다관절로보트 비상정지 알람
→ 생산기술팀, 업체 내방하여 설비 및 프로그램 점검
→ 점검 중 센서선 단선 재발생. 퓨즈 교체 및 센서선 재연결
*주간 다관절로보트 무언 정지
→ 배열판 코어 미삽입 상태로 픽업 위치로 전진되어 다관절로보트 정지
→ 해당건 전주 생산간 일 평균 1~2회 발생으로 원인 파악 필요"
56호기 - MEW 250T,IDB GEN2 H/G_MIRRORED (필터융착), 542 , 5 , 547 ,8.94,7.77,1.17,5.77,99.1%,74.3%,86.9%,64.0%,85%,"*야간 가동 간 융착 리크 불량 다수 발생 (가성)
→ 해당품 재작업 진행시 양품 확인"
,,,,,,,,,,,,,,
,,,,,,,,,,,금일 효율,85.3%,,
,,,,,,,,,,,당월 효율,86.0%,,
