설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE RH," 1,182 ", 2 ," 1,184 ",8.326,7.862,0.464,6.249,99.8%,79.5%,94.4%,74.9%,87%,0
06호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
10호기 - 원일 100T,LINK OVER MOLD," 8,140 ", 8 ," 8,148 ",23.5,23.5,0,20.37,99.9%,86.7%,100.0%,86.6%,85%,0
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 1,500 ", - ," 1,500 ",4.608,4.321,0.287,4.083,100.0%,94.5%,93.8%,88.6%,86%,0
12호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
13호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 11,940 ", 4 ," 11,944 ",23.522,23.522,0,19.243,100.0%,81.8%,100.0%,81.8%,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 9,956 ", - ," 9,956 ",17.329,16.87,0.459,16.593,100.0%,98.4%,97.4%,95.8%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 6,020 ", 8 ," 6,028 ",16.329,16.329,0,15.07,99.9%,92.3%,100.0%,92.2%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 25,800 ", - ," 25,800 ",23.504,23.073,0.431,20.067,100.0%,87.0%,98.2%,85.4%,87%,0
20호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,600H M/CORE COVER L.V," 27,360 ", 24 ," 27,384 ",13.999,12.604,1.395,10.421,99.9%,82.7%,90.0%,74.4%,87%,0
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 4,890 ", - ," 4,890 ",8.416,8.09,0.326,7.471,100.0%,92.3%,96.1%,88.8%,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 8,280 ", - ," 8,280 ",10.001,9.532,0.469,9.2,100.0%,96.5%,95.3%,92.0%,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 8,640 ", 14 ," 8,654 ",20.339,20.339,0,17.549,99.8%,86.3%,100.0%,86.1%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 12,450 ", - ," 12,450 ",11.499,11.369,0.13,9.683,100.0%,85.2%,98.9%,84.2%,85%,0
27호기 - 우진 220T,TERMINAL SUPPORT GAMMA," 134,532 ", - ," 134,532 ",24.523,24.523,0,22.422,100.0%,91.4%,100.0%,91.4%,85%,0
28호기 - 우진 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
29호기 - 우진 150T,RADOME," 3,370 ", - ," 3,370 ",10.342,9.937,0.405,8.612,100.0%,86.7%,96.1%,83.3%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN WSV," 27,808 ", - ," 27,808 ",24.1,23.989,0.111,23.173,100.0%,96.6%,99.5%,96.2%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 37,500 ", 27 ," 37,527 ",23.497,23.497,0,19.806,99.9%,84.3%,100.0%,84.2%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 36,700 ", 48 ," 36,748 ",23.497,23.497,0,19.395,99.9%,82.5%,100.0%,82.4%,85%,0
35호기 - ARBURG 100T (자동),TAS GEN2.0 PIN BLOCK MOLD," 64,000 ", - ," 64,000 ",23.5,23.5,0,21.333,100.0%,90.8%,100.0%,90.8%,90%,0
36호기 - ZHAFIR 120T,600C 1차 SPOOL (KOPLA)," 9,918 ", - ," 9,918 ",11.735,11.309,0.426,9.643,100.0%,85.3%,96.4%,82.2%,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 28,380 ", - ," 28,380 ",15.717,15.717,0,14.978,100.0%,95.3%,100.0%,95.3%,85%,0
38호기 - ARBURG 100T (자동),#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
39호기 - ZHAFIR 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
40호기 - ARBURG 200T (자동),KEV3 COVER 5.0 LN QC (9144060573)," 10,830 ", - ," 10,830 ",22.379,22.252,0.127,21.419,100.0%,96.3%,99.4%,95.7%,87%,0
41호기 - 우진 220T (자동),KEV3 COVER 7.0 LN QC (9144060378)," 11,260 ", - ," 11,260 ",23.144,22.968,0.176,22.27,100.0%,97.0%,99.2%,96.2%,87%,0
42호기 - 우진 220T (자동),KEV3 COVER QC_P (9144060696)," 8,620 ", - ," 8,620 ",23.501,23.297,0.204,19.156,100.0%,82.2%,99.1%,81.5%,87%,0
43호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
44호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
45호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
47호기 - ARBURG 200T,MGH80 ABS HOUSING," 1,062 ", - ," 1,062 ",8.013,7.707,0.306,6.048,100.0%,78.5%,96.2%,75.5%,75%,0
48호기 - 원일 200T,MEB5 HOUSING ESC (S)," 3,096 ", 3 ," 3,099 ",18.861,18.861,0,18.077,99.9%,95.8%,100.0%,95.8%,87%,0
49호기 - ARBURG 300T,iMEB2.1 ECU HOUSING (필터융착)," 2,670 ", 18 ," 2,688 ",19.545,18.656,0.889,17.92,99.3%,96.1%,95.5%,91.1%,84%,0
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,398 ", 5 ," 3,403 ",23.462,23.125,0.337,19.378,99.9%,83.8%,98.6%,82.5%,87%,0
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,691 ", 4 ," 2,695 ",19.114,18.269,0.845,15.721,99.9%,86.1%,95.6%,82.1%,87%,0
52호기 - ARBURG 160T,IDB HOUSING MOLD," 1,941 ", 1 ," 1,942 ",20.333,20.157,0.176,18.341,99.9%,91.0%,99.1%,90.2%,85%,0
53호기 - 재피어 450T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,87.8%,,
