설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,589 ", 1 ," 1,590 ",9.2,8.4,0.8,8.4,99.9%,100.0%,90.9%,90.8%,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,TAS GEN2.0 ROTOR IS," 3,680 ", - ," 3,680 ",16.1,15.6,0.5,15.6,100.0%,100.0%,97.2%,97.1%,83.0%,
10호기 - 원일 100T,LINK OVER MOLD, 470 , - , 470 ,1.2,1.2,0.0,1.2,100.0%,95.5%,100.0%,95.5%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,600 ", 20 ," 2,620 ",7.4,7.1,0.2,7.1,99.2%,99.9%,97.0%,96.2%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 14,472 ", - ," 14,472 ",44.7,43.7,1.0,37.0,100.0%,84.6%,97.8%,82.7%,83.0%,"*야간 가동중 런너 취출 로보트 센서 작동 불량 (3회)
→ 임시조치간 수동 작업으로 효율 감소"
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 12,240 ", - ," 12,240 ",24.0,23.7,0.4,19.7,100.0%,83.4%,98.5%,82.1%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 8,520 ", 24 ," 8,544 ",16.7,16.7,0.0,13.8,99.7%,82.6%,100.0%,82.3%,84.0%,
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 12,660 ", 4 ," 12,664 ",24.0,23.8,0.2,21.1,100.0%,88.6%,99.2%,87.9%,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 6,280 ", - ," 6,280 ",19.5,18.7,0.8,15.7,100.0%,83.9%,95.9%,80.5%,86.0%,"*주간 마그넷 누락 건(고객사 불량) 2차 금형 수정
→ 마그넷 누락(미삽입) 발생시 돌기 형상 증대로 시인성 개선
*야간 Cav.9, 10, 11 조립부 Burr
→ 하측 금형 하차 후 수리 요청. 1Mold 가동. 발생품 식별 후 격리"
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 20,328 ", - ," 20,328 ",24.0,20.3,3.7,15.8,100.0%,78.0%,84.5%,65.9%,87.0%,"*야간 핀 누락
→ 핀 압입기 척 개폐 실린더 습동 불량
→ 그리퍼 청소 및 스토퍼 위치 재조정"
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 12,000 ", - ," 12,000 ",9.7,9.4,0.3,9.3,100.0%,99.6%,97.1%,96.7%,85.0%,
21호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 5,276 ", - ," 5,276 ",8.4,8.1,0.4,8.1,100.0%,100.0%,95.8%,95.7%,90.0%,
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 9,140 ", - ," 9,140 ",10.4,10.2,0.2,10.2,100.0%,100.0%,97.7%,97.7%,90.0%,
24호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
25호기 - 우진 220T,MEB5 ESC COVER," 9,240 ", 12 ," 9,252 ",20.7,20.3,0.4,18.8,99.9%,92.4%,98.2%,90.6%,90.0%,
26호기 - 우진 220T,600D 외부 CASE (KOPLA)," 5,460 ", - ," 5,460 ",10.3,10.0,0.3,9.4,100.0%,93.6%,97.1%,90.9%,85.0%,
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 4,350 ", - ," 4,350 ",10.3,9.1,1.3,8.0,100.0%,88.0%,87.7%,77.2%,85.0%,"*주간 단자 공급부 센서 인식 이상 [1]
→ 센서 위치 재조정
*주간 단자 공급부 센서 인식 이상 [2]
→ 재발생. 입, 출력 신호 이상. 신호기 교체"
