설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH, 340 , 3 , 343 ,8.3,7.6,0.8,1.8,99.1%,24.0%,90.7%,21.5%,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 3,200 ", 1 ," 3,201 ",16.6,16.6,0.0,13.8,100.0%,82.9%,100.0%,82.9%,83.0%,
10호기 - 원일 100T,LINK OVER MOLD," 8,220 ", - ," 8,220 ",24.0,24.0,0.0,20.6,100.0%,85.6%,100.0%,85.6%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,500 ", - ," 2,500 ",7.2,6.8,0.4,6.8,100.0%,100.0%,94.9%,94.9%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 6,528 ", 1 ," 6,529 ",20.7,20.7,0.0,16.7,100.0%,80.7%,100.0%,80.7%,83.0%,
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 6,060 ", - ," 6,060 ",12.0,11.8,0.2,9.8,100.0%,82.8%,98.2%,81.3%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 12,420 ", 16 ," 12,436 ",24.0,24.0,0.0,20.0,99.9%,83.4%,100.0%,83.3%,84.0%,
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 5,040 ", - ," 5,040 ",12.0,9.7,2.3,8.4,100.0%,86.9%,80.6%,70.0%,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 5,880 ", - ," 5,880 ",16.7,16.7,0.0,14.7,100.0%,88.2%,100.0%,88.2%,86.0%,
19호기 - JSW 100T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 2,400 ", - ," 2,400 ",3.0,3.0,0.0,1.9,100.0%,62.2%,100.0%,62.2%,85.0%,
21호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 5,320 ", - ," 5,320 ",8.5,8.3,0.2,8.1,100.0%,97.8%,97.6%,95.4%,90.0%,
23호기 - ARBURG 200T,TAS GEN2.0 COVER," 10,800 ", 16 ," 10,816 ",12.6,12.6,0.0,12.0,99.9%,95.2%,100.0%,95.0%,90.0%,
24호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
25호기 - 우진 220T,MEB5 ESC COVER," 8,520 ", 8 ," 8,528 ",18.3,18.3,0.0,17.3,99.9%,94.3%,100.0%,94.2%,90.0%,
26호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
27호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
28호기 - 우진 150T,iMEB2 BOBBIN IV," 17,796 ", - ," 17,796 ",17.0,14.8,2.2,14.8,100.0%,100.0%,87.0%,87.0%,87.0%,
29호기 - 우진 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
30호기 - 우진 150T,iMEB2 BOBBIN IV," 28,000 ", - ," 28,000 ",24.0,23.8,0.2,23.3,100.0%,98.0%,99.2%,97.2%,87.0%,
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 35,500 ", 9 ," 35,509 ",22.3,22.3,0.0,18.7,100.0%,83.9%,100.0%,83.9%,85.0%,
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 35,000 ", 37 ," 35,037 ",22.3,22.2,0.1,18.5,99.9%,83.3%,99.4%,82.7%,85.0%,
35호기 - ARBURG 100T (자동),LK EV CMU BASE," 1,824 ", - ," 1,824 ",14.3,14.3,0.0,13.7,100.0%,95.7%,100.0%,95.7%,90.0%,
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 25,500 ", 20 ," 25,520 ",14.2,13.6,0.6,13.5,99.9%,99.0%,95.6%,94.6%,85.0%,
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 5,030 ", - ," 5,030 ",7.5,7.5,0.0,7.1,100.0%,95.1%,100.0%,95.1%,90.0%,
39호기 - ZHAFIR 120T,Theta3 AIM Nipple PCSV," 3,244 ", - ," 3,244 ",8.1,8.1,0.0,7.8,100.0%,95.6%,100.0%,95.6%,90.0%,
40호기 - ARBURG 200T (자동),KEV3 COVER QC_P (9144060696)," 5,090 ", - ," 5,090 ",11.5,11.5,0.0,11.3,100.0%,98.3%,100.0%,98.3%,87.0%,
41호기 - 우진 220T (자동),KEV2 COVER 10.5 GL3 (9144060669)," 6,300 ", - ," 6,300 ",12.3,12.3,0.0,11.7,100.0%,95.6%,100.0%,95.6%,87.0%,
42호기 - 우진 220T (자동),KEV3 COVER QC_P (9144060696)," 4,780 ", - ," 4,780 ",11.5,11.5,0.0,10.6,100.0%,92.4%,100.0%,92.4%,87.0%,
43호기 - ARBURG 200T,ADAPTOR AIRTUBE, 305 , - , 305 ,8.4,8.0,0.4,5.9,100.0%,74.2%,95.2%,70.6%,87.0%,
44호기 - 우진 220T,IDB COVER ASS'Y," 3,112 ", - ," 3,112 ",16.0,15.7,0.3,14.6,100.0%,93.1%,98.1%,91.3%,87.0%,
45호기 - 우진 220T,FE SVM HOUSING, 326 , - , 326 ,8.4,8.1,0.2,6.8,100.0%,83.4%,97.2%,81.0%,85.0%,
46호기 - MEW 250T,SRR 30 HOUSING ASSY (MASTER)," 1,904 ", 5 ," 1,909 ",7.8,7.1,0.7,6.3,99.7%,88.5%,91.2%,80.5%,84.0%,
47호기 - ARBURG 200T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,75.0%,
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,760 ", 6 ," 2,766 ",17.0,16.1,0.9,16.1,99.8%,100.0%,94.9%,94.7%,87.0%,
49호기 - ARBURG 300T,iMEB2.1 ECU HOUSING (필터융착)," 2,512 ", 23 ," 2,535 ",22.4,20.2,2.2,16.9,99.1%,83.6%,90.2%,74.7%,84.0%,
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,342 ", 2 ," 3,344 ",24.0,22.9,1.0,19.0,99.9%,83.0%,95.8%,79.4%,87.0%,
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,889 ", 4 ," 2,893 ",19.4,18.9,0.6,16.9,99.9%,89.4%,97.1%,86.8%,87.0%,
52호기 - ARBURG 160T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
53호기 - 재피어 450T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
,,,,,,,,,,,,,,
,,,,,,,,,,,,85.8%,,
