설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,MEB5.2 MOTOR PIN ASSY," 1,000 ", - ," 1,000 ",3.1,3.1,0.0,2.6,100.0%,85.0%,100.0%,85.0%,85.0%,
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y, 600 , - , 600 ,2.7,2.7,0.0,2.6,100.0%,96.3%,100.0%,96.3%,83.0%,
10호기 - 원일 100T,LINK OVER MOLD," 8,180 ", - ," 8,180 ",24.0,24.0,0.0,20.5,100.0%,85.2%,100.0%,85.2%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 5,200 ", - ," 5,200 ",14.9,14.5,0.4,14.2,100.0%,97.3%,97.5%,94.9%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 6,400 ", - ," 6,400 ",20.7,20.4,0.3,16.4,100.0%,80.0%,98.8%,79.1%,83.0%,"*야간 런너 취출 로보트 작동 이상
→ 그리퍼 센서선 단선. 단선부 재연결 후 그리퍼 위치 재조정"
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 6,360 ", - ," 6,360 ",12.0,11.8,0.2,10.2,100.0%,87.0%,98.1%,85.3%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 12,420 ", 12 ," 12,432 ",24.0,23.6,0.4,20.0,99.9%,84.8%,98.3%,83.3%,84.0%,
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 6,180 ", 2 ," 6,182 ",12.0,11.9,0.1,10.3,100.0%,86.5%,99.2%,85.8%,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 2,880 ", - ," 2,880 ",8.3,8.1,0.3,7.2,100.0%,89.4%,96.7%,86.4%,86.0%,
