설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,640 ", 2 ," 1,642 ",9.2,8.7,0.6,8.7,99.9%,100.0%,93.9%,93.8%,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,83.0%,
10호기 - 원일 100T,LINK OVERMOLD (N)," 8,180 ", - ," 8,180 ",24.0,24.0,0.0,20.5,100.0%,85.2%,100.0%,85.2%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 5,100 ", - ," 5,100 ",14.8,14.8,0.0,13.9,100.0%,94.0%,100.0%,94.0%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 5,640 ", 1 ," 5,641 ",17.7,17.7,0.0,14.4,100.0%,81.5%,100.0%,81.5%,83.0%,
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 6,000 ", 4 ," 6,004 ",12.0,12.0,0.0,9.7,99.9%,80.5%,100.0%,80.5%,84.0%,
14호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,84.0%,
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 12,000 ", - ," 12,000 ",22.3,22.3,0.0,20.0,100.0%,89.6%,100.0%,89.6%,84.0%,
16호기 - 원일 120T,LINK OVERMOLD (N)," 2,860 ", - ," 2,860 ",8.3,8.1,0.2,7.2,100.0%,88.4%,97.2%,85.8%,86.0%,
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 24,900 ", - ," 24,900 ",24.0,23.3,0.7,19.4,100.0%,83.1%,97.1%,80.7%,87.0%,
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 11,992 ", - ," 11,992 ",10.0,9.8,0.2,9.3,100.0%,95.5%,97.7%,93.3%,85.0%,
21호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
