설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,VIS SOLENOID BODY (NU)," 3,000 ", - ," 3,000 ",16.7,15.3,1.4,11.5,100.0%,75.4%,91.5%,68.9%,83.0%,*효율 하락 건 원인 분석중
10호기 - 원일 100T,ROTOR OS SLEEVE," 8,280 ", - ," 8,280 ",16.7,16.7,0.0,13.8,100.0%,82.8%,100.0%,82.8%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,600 ", 24 ," 2,624 ",7.5,7.1,0.3,7.1,99.1%,100.0%,95.5%,94.6%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 5,736 ", - ," 5,736 ",24.0,21.5,2.5,14.7,100.0%,68.2%,89.5%,61.0%,83.0%,"*주간 가동중 앵귤러 핀 데미지 확인.상측 금형 하차 후 점검
→ 링크 작동 상태 및 앵귤러핀 점검 완료
*주간 셋업 중 하측 A금형 형폐 중 습합 이상 및 소음
→ 상, 하측 금형 하차 후 수리"
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 4,144 ", - ," 4,144 ",8.3,8.0,0.3,6.7,100.0%,83.5%,95.9%,80.1%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 11,760 ", 88 ," 11,848 ",24.0,23.8,0.2,19.1,99.3%,80.1%,99.3%,78.9%,84.0%,"*주/야간 미성형 불량 88ea
→ 금형 점검시 #2, #4 게이트부 미사출 현상 다수 확인
→ 에어 증폭 적용 후 모니터링 및 원인 분석 예정 
*야간 공타작업중 슬라이드 런너 눌림. 제거 후 가동"
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 12,600 ", 8 ," 12,608 ",24.0,23.9,0.1,21.0,99.9%,88.1%,99.4%,87.5%,84.0%,*주간 슬라이드 링크 작동 이상. 슬라이드 점검
