설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH, 232 , 6 , 238 ,4.607,1.258,3.349,1.256,97.5%,99.8%,27.3%,26.6%,87%,"*주간 3호기 금형 센서 수리, 사출 불량 수리
*주간 4호기 숄더기 납조부 바스켓 노후로 인한 마모건 교체
→ 바스켓 위치 조정 시간 증대. 생산관리팀 협의 후 설비 정지"
06호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,MEB5.2 MOTOR PIN ASSY," 2,200 ", - ," 2,200 ",6.105,5.814,0.291,5.806,100.0%,99.9%,95.2%,95.1%,85%,0
09호기 - 원일 150T,FCEV FLANGE ASS'Y ACV, 718 , 6 , 724 ,9.212,8.687,0.525,8.684,99.2%,100.0%,94.3%,93.5%,83%,"*주간 시업 중 가스 다수 발생
→ 사출조건(실린더 온도 상향) 조정 후 가동
*주간 가동 중 터미널 눌림 및 Burr
→ 하측 금형 데미지 확인. 하측 금형 하차 후 수리"
10호기 - 원일 100T,ROTOR OS SLEEVE," 3,280 ", - ," 3,280 ",6.829,6.829,0,5.467,100.0%,80.1%,100.0%,80.1%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 3,040 ", - ," 3,040 ",10.012,9.89,0.122,7.769,100.0%,78.6%,98.8%,77.6%,83%,0
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 7,140 ", 8 ," 7,148 ",13.342,12.736,0.606,11.517,99.9%,90.4%,95.5%,86.2%,84%,0
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 12,180 ", 6 ," 12,186 ",23.522,23.522,0,19.633,100.0%,83.5%,100.0%,83.4%,84%,0
15호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,040 ", - ," 8,040 ",23.5,23.5,0,20.1,100.0%,85.5%,100.0%,85.5%,86%,0
19호기 - JSW 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 12,000 ", - ," 12,000 ",11.502,11.502,0,9.333,100.0%,81.1%,100.0%,81.1%,85%,0
21호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 4,980 ", - ," 4,980 ",8.148,7.834,0.314,7.608,100.0%,97.1%,96.1%,93.4%,90%,0
23호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
