설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,83.0%,
10호기 - 원일 100T,LINK OVER MOLD," 3,980 ", - ," 3,980 ",11.5,11.3,0.2,10.0,100.0%,87.7%,98.7%,86.5%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 3,000 ", - ," 3,000 ",8.6,8.6,0.0,8.2,100.0%,95.1%,100.0%,95.1%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS, 520 , - , 520 ,3.0,2.0,1.0,1.3,100.0%,66.9%,66.1%,44.2%,83.0%,
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 9,840 ", - ," 9,840 ",20.0,19.9,0.1,15.9,100.0%,79.6%,99.5%,79.2%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 11,220 ", 32 ," 11,252 ",21.9,21.3,0.5,18.1,99.7%,85.1%,97.5%,82.7%,84.0%,
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 11,760 ", 12 ," 11,772 ",23.5,23.5,0.0,19.6,99.9%,83.5%,100.0%,83.4%,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 6,260 ", 1 ," 6,261 ",18.0,18.0,0.0,15.7,100.0%,87.0%,100.0%,86.9%,86.0%,
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 21,200 ", - ," 21,200 ",20.5,19.4,1.1,16.5,100.0%,85.0%,94.6%,80.4%,87.0%,
20호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
