설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,254 ", - ," 1,254 ",8.04,6.62,1.42,6.62,100.0%,100.0%,82.3%,82.3%,87%,*주간 Coil ass'y 확보 후 가동
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,576 ", 6 ," 1,582 ",9.10,8.35,0.75,8.35,99.6%,100.0%,91.8%,91.4%,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 4,200 ", - ," 4,200 ",8.33,7.93,0.40,7.00,100.0%,88.3%,95.2%,84.0%,85%,0
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,500 ", - ," 2,500 ",7.26,6.84,0.41,6.81,100.0%,99.4%,94.3%,93.8%,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 6,780 ", - ," 6,780 ",20.68,20.68,0.00,17.33,100.0%,83.8%,100.0%,83.8%,83%,0
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 8,248 ", - ," 8,248 ",16.67,16.58,0.09,13.29,100.0%,80.1%,99.4%,79.7%,84%,0
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 12,540 ", - ," 12,540 ",24.02,24.02,0.00,20.20,100.0%,84.1%,100.0%,84.1%,84%,0
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 10,320 ", - ," 10,320 ",20.66,20.54,0.11,17.20,100.0%,83.7%,99.4%,83.3%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,180 ", - ," 8,180 ",24.00,24.00,0.00,20.45,100.0%,85.2%,100.0%,85.2%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 26,800 ", - ," 26,800 ",22.33,22.33,0.00,20.84,100.0%,93.3%,100.0%,93.3%,87%,0
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 11,600 ", - ," 11,600 ",9.81,9.03,0.79,9.02,100.0%,100.0%,92.0%,92.0%,85%,"*야간 상측 금형 수지 고착
→ 고착 수지 제거, 하트 점검 후 가동"
21호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 5,180 ", - ," 5,180 ",8.42,8.19,0.23,7.91,100.0%,96.7%,97.3%,94.0%,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 9,180 ", - ," 9,180 ",10.63,10.43,0.20,10.20,100.0%,97.8%,98.1%,96.0%,90%,0
24호기 - 우진 220T,POWER PACK COVER (검사 전), 744 , - , 744 ,8.33,7.97,0.37,7.03,100.0%,88.2%,95.6%,84.3%,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,480 ", 1 ," 9,481 ",20.67,20.67,0.00,19.23,100.0%,93.0%,100.0%,93.0%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 23,900 ", - ," 23,900 ",24.00,22.08,1.92,18.59,100.0%,84.2%,92.0%,77.5%,85%,"*주간 Cav.4 하이게이트 현상
→ 벨브 핀 동작 이상 추정. 상측 금형 하차 후 점검"
27호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 9,000 ", - ," 9,000 ",7.87,7.87,0.00,7.50,100.0%,95.3%,100.0%,95.3%,87%,0
29호기 - 우진 150T,SP2 PE 수밀 커버," 1,147 ", - ," 1,147 ",8.90,8.77,0.13,8.60,100.0%,98.1%,98.5%,96.6%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN WSV," 28,613 ", - ," 28,613 ",24.70,24.12,0.58,23.85,100.0%,98.8%,97.7%,96.5%,87%,"*야간 Cav.8 와인딩부 홈 성형 불량
→ 코어 이물 누적. 탈거 후 청소 "
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 39,908 ", 39 ," 39,947 ",24.00,24.00,0.00,21.08,99.9%,87.9%,100.0%,87.8%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 37,992 ", 47 ," 38,039 ",24.00,24.00,0.00,20.08,99.9%,83.7%,100.0%,83.6%,85%,0
35호기 - ARBURG 100T (자동),iMEB2 FORK PIN COVER," 11,304 ", - ," 11,304 ",12.11,11.66,0.45,10.99,100.0%,94.3%,96.3%,90.8%,90%,0
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
38호기 - ARBURG 100T (자동),ETC BRUSH HOLDER," 5,862 ", - ," 5,862 ",10.49,10.25,0.24,10.10,100.0%,98.5%,97.7%,96.3%,90%,0
