설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,386 ", - ," 1,386 ",8.93,7.32,1.61,7.32,100.0%,99.9%,82.0%,81.9%,87%,"*주간 Coil ass'y 공급 지연
→ 납조부 이송부, 슬러지 제거부 작동 이상으로 설비 점검"
06호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,440 ", - ," 1,440 ",8.31,8.31,0.00,6.20,100.0%,74.6%,100.0%,74.6%,83%,"*주간 가동간 실린더 #3, #4 고온 알람 간헐적 발생
→ 설비 점검"
10호기 - 원일 100T,LINK OVER MOLD," 8,000 ", - ," 8,000 ",23.50,23.50,0.00,20.00,100.0%,85.1%,100.0%,85.1%,85%,0
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 5,000 ", - ," 5,000 ",14.04,13.66,0.39,13.61,100.0%,99.7%,97.3%,96.9%,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 7,984 ", - ," 7,984 ",24.03,24.03,0.00,20.40,100.0%,84.9%,100.0%,84.9%,83%,0
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 8,280 ", - ," 8,280 ",15.34,14.98,0.36,13.34,100.0%,89.0%,97.7%,86.9%,84%,0
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 10,200 ", - ," 10,200 ",18.77,16.44,2.33,16.43,100.0%,100.0%,87.6%,87.5%,84%,"*주간 계량 모터부 구리스 비산 발생건 업체 내방 수리
→ 계량 모터 이상 확인. 업체 재방문 후 계량모터 교체"
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 11,280 ", - ," 11,280 ",22.00,21.87,0.13,18.80,100.0%,86.0%,99.4%,85.5%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 2,840 ", - ," 2,840 ",8.33,8.33,0.00,7.10,100.0%,85.2%,100.0%,85.2%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 22,608 ", - ," 22,608 ",21.83,21.83,0.00,17.58,100.0%,80.5%,100.0%,80.5%,87%,0
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 12,400 ", - ," 12,400 ",10.00,10.00,0.00,9.64,100.0%,96.4%,100.0%,96.4%,85%,0
21호기 - 원일 120T,600H M/CORE COVER CENTER," 11,472 ", 34 ," 11,506 ",8.33,7.31,1.02,4.79,99.7%,65.6%,87.7%,57.4%,87%,"*주간 원자재 공급기 분리부 그리퍼 작동 이상
→ 그리퍼 탈거 및 교체, 작동성 점검"
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 4,860 ", - ," 4,860 ",8.42,8.08,0.34,7.43,100.0%,91.9%,96.0%,88.2%,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 10,587 ", - ," 10,587 ",12.23,11.79,0.44,11.76,100.0%,99.8%,96.4%,96.2%,90%,0
24호기 - 우진 220T,700G 1차 SPOOL (KOPLA)," 20,100 ", - ," 20,100 ",12.70,12.31,0.39,12.28,100.0%,99.8%,96.9%,96.7%,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 4,152 ", 2 ," 4,154 ",10.00,9.76,0.24,8.42,100.0%,86.3%,97.6%,84.2%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 26,600 ", - ," 26,600 ",23.50,22.99,0.51,20.69,100.0%,90.0%,97.8%,88.0%,85%,0
27호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 17,700 ", - ," 17,700 ",15.74,15.54,0.19,14.75,100.0%,94.9%,98.8%,93.7%,87%,"*야간 Cav.3 인서트로보트 척 지그 파손
→ 지그 교체"
29호기 - 우진 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 26,308 ", - ," 26,308 ",22.80,22.80,0.00,21.92,100.0%,96.2%,100.0%,96.2%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 30,000 ", 27 ," 30,027 ",19.00,19.00,0.00,15.85,99.9%,83.4%,100.0%,83.3%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 37,616 ", 46 ," 37,662 ",24.00,23.13,0.86,19.88,99.9%,85.9%,96.4%,82.7%,85%,"*주간 오일 온도 튐 현상
→ F/Proof와 작동유 온도계 결선 불량. 결선 완료"
35호기 - ARBURG 100T (자동),TAS GEN2.0 PIN BLOCK MOLD," 29,300 ", - ," 29,300 ",12.00,11.75,0.25,9.77,100.0%,83.2%,97.9%,81.4%,90%,"*야간 Cav.3 핀 코어 파손
→ 금형 하차 후 수리 요청. 추후 생산 셋업 시 외관 모니터링"
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
38호기 - ARBURG 100T (자동),ETC BRUSH HOLDER," 4,886 ", - ," 4,886 ",10.01,8.84,1.17,8.42,100.0%,95.2%,88.3%,84.1%,90%,"*주간 차단기 다운
→ 히팅 릴레이 결함으로 인한 쇼트 추정
→ 쿨링 팬 소손 확인. 교체
*주간 공급기 제품 이송 클램프 작동 불량
→ 솔 신호 불량 확인. 솔 신호 코일 교체"
39호기 - ZHAFIR 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
40호기 - ARBURG 200T (자동),KEV3 COVER 5.0 LN QC (9144060573)," 3,970 ", - ," 3,970 ",8.13,8.00,0.14,7.85,100.0%,98.2%,98.3%,96.5%,87%,0
41호기 - 우진 220T (자동),KEV2 COVER 10.5 GL3 (9144060669)," 6,040 ", - ," 6,040 ",12.01,12.01,0.00,11.24,100.0%,93.6%,100.0%,93.6%,87%,0
42호기 - 우진 220T (자동),KEV3 COVER QC_P (9144060696)," 9,880 ", - ," 9,880 ",23.50,23.50,0.00,21.96,100.0%,93.4%,100.0%,93.4%,87%,0
43호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
44호기 - 우진 220T,IDB COVER ASS'Y," 1,440 ", - ," 1,440 ",8.00,8.00,0.00,6.76,100.0%,84.5%,100.0%,84.5%,87%,0
45호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,SRR 30 HOUSING ASSY (MASTER)," 2,010 ", 5 ," 2,015 ",7.75,7.51,0.24,6.61,99.8%,88.0%,96.9%,85.0%,84%,"*주간 프레스 파이롯트 핀 신규 제작건 입고
→ 프레스 상차 후 셋업. 생산간 모니터링"
47호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75%,"*주간 설비변경 관련 개조 업체 내방
1. 수정 가공품 교체
2. EUCON 코어 클램프 포지션 테스트 완료
3. MOCI 코어 클램프 포지션 테스트 완료
4. MEB5 생산 테스트 완료
5. 그리퍼 4종 배선 재작업 완료
6. 코어분리 유닛 후면 가이드 설치"
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,643 ", 5 ," 2,648 ",17.01,15.45,1.56,15.45,99.8%,100.0%,90.8%,90.6%,87%,"*주간 사출기 금형 온도 고온, 저온 알람 간헐적 발생
→ 발생 중 E/Proof 공차 이탈시 알람 미발생. 설비보전팀 점검
*야간 테이블 형판 회전 이상
→ 테이블 원점 후 재가동"
49호기 - ARBURG 300T,iMEB2.1 ECU HOUSING (필터융착)," 2,839 ", 9 ," 2,848 ",23.09,21.89,1.20,18.99,99.7%,86.7%,94.8%,82.0%,84%,"*주간 S/P 직교로보트 회전 및 복귀, 그리퍼 잡기 및 풀기 동작 이상
→ 솔 벨브 신호 이상. 솔 에어라인 점검, 압력 레귤레이터 정상 작동 확인
*주간 버스바코어 배출부 로보트 상, 하 동작 이상
→ 수동 조치 후 원점 후 재가동
*주간 S/P 칩 이물
→ 직교로보트 핀 인서트 위치 조정
*야간 계량 미완료 알람
→ 수지 이송부 호스 막힘 확인. 생산팀 호스 점검
*야간 비전 부쉬부 NG (인서트 불량)
→ 발생 시 사출기 정지 및 사출 불가. 사출기 및 공급부 원점 후 재가동"
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,434 ", 32 ," 3,466 ",23.46,22.37,1.09,19.74,99.1%,88.2%,95.3%,83.4%,87%,"*야간 다관절로보트 카세트코어 푸셔 하강 센서 이상
→ 다관절로보트 인서트 위치조정, 센서 점검
*야간 서보 드라이브 알람
→ 코어 이송기, 분리기 안착 위치 틀어짐. 서보 위치 조정"
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,853 ", 2 ," 2,855 ",19.11,18.68,0.44,16.65,99.9%,89.2%,97.7%,87.1%,87%,"*야간 Cav.6 커넥터부 스크래치 (2회)
→ 금형 점검"
52호기 - ARBURG 160T,IDB HOUSING MOLD, 920 , - , 920 ,10.33,10.15,0.18,8.69,100.0%,85.6%,98.2%,84.1%,85%,"*야간 런너 배출부 컨베이어 벨트 런너 걸림으로 인한 동작 이상
→ 양품 배출 지연으로 인한 효율 감소. 런너 수동 제거"
53호기 - 재피어 450T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
