설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE RH," 1,445 ", 17 ," 1,462 ",8.8,7.7,1.1,7.7,98.8%,100.0%,88.0%,87.0%,87.0%,"*야간 터미널 납 이물
→ 바스켓 위치 재조정"
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,VIS SOLENOID BODY (NU)," 3,428 ", - ," 3,428 ",16.7,16.7,0.0,13.1,100.0%,78.8%,100.0%,78.8%,83.0%,
10호기 - 원일 100T,LINK OVER MOLD," 6,080 ", - ," 6,080 ",16.0,16.0,0.0,15.2,100.0%,95.0%,100.0%,95.0%,85.0%,"*주간 Cav.21 마스넷 핀 코어 파손
→ 기능상 생산간 제품 영향 업음. 임시 양산 진행
*주간 3차 금형 4M 변경 : 금형 수정
→ 마그넷 누락 발생시 돌기 형상 증대. 외관 및 형상 확인"
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,500 ", - ," 2,500 ",7.5,6.8,0.7,6.8,100.0%,100.0%,90.9%,90.9%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 5,792 ", - ," 5,792 ",20.7,17.3,3.4,14.8,100.0%,85.5%,83.7%,71.6%,83.0%,"*주간 하트 #4 미인식
→ 카트리지 접촉 불량 추정. 카트리지 교체
*야간 상측 금형 런너 고착
→ 작업자 재가동 중 런너판 런너 확인 미흡.
→ 런너 제거중 중간부 끊어짐 발생으로 제거 불가. 상측 금형 하차
→ 작업자 경위서 제출, 알람 조치 매뉴얼 재교육"
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 4,868 ", - ," 4,868 ",8.3,8.0,0.3,7.8,100.0%,97.6%,96.4%,94.1%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 7,020 ", 36 ," 7,056 ",24.0,17.0,7.0,11.4,99.5%,67.0%,70.7%,47.1%,84.0%,"*작일 야간 생산간 미사출 현상 다수 발생
→ 설비 정지. 4차 금형 하차 후 점검 요청
→ 5차 금형 냉각라인 추가 후 상차 및 Set-up. 생산간 모니터링"
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 11,640 ", - ," 11,640 ",24.0,22.9,1.1,19.4,100.0%,84.9%,95.2%,80.8%,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 2,840 ", - ," 2,840 ",8.3,8.3,0.0,7.1,100.0%,85.2%,100.0%,85.2%,86.0%,
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 24,800 ", - ," 24,800 ",24.0,23.3,0.7,19.3,100.0%,82.8%,97.1%,80.4%,87.0%,"*야간 에어호스 파손
→ 에어호스 교체
*야간 생산간 금형 내 플레이트 안착 이상 다수 발생. 조치시간 증대"
20호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
21호기 - 원일 120T,600H M/CORE COVER H.V," 10,509 ", 1 ," 10,510 ",10.0,9.1,0.9,4.0,100.0%,43.8%,91.4%,40.0%,87.0%,"*야간 자재 공급 이상
→ 서보값 조정
*야간 가동 중 자재 인서트 이상 다수 발생(3회)
→ 인서트 위치 재셋팅"
22호기 - ARBURG 200T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
23호기 - ARBURG 200T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
24호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
25호기 - 우진 220T,MEB5 ESC COVER," 10,440 ", 18 ," 10,458 ",22.2,22.2,0.0,21.2,99.8%,95.7%,100.0%,95.5%,90.0%,
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 11,000 ", - ," 11,000 ",12.0,11.4,0.6,8.6,100.0%,75.0%,95.0%,71.3%,85.0%,"*주간 Cav.7 마그넷 조립부 내측 스크래치
→ 금형 점검"
27호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
28호기 - 우진 150T,iMEB2 BOBBIN OV," 18,500 ", - ," 18,500 ",15.7,15.5,0.3,15.4,100.0%,99.6%,98.3%,98.0%,87.0%,
29호기 - 우진 150T,SP2 PE 수밀 커버," 2,386 ", 2 ," 2,388 ",20.6,20.6,0.0,17.9,99.9%,87.0%,100.0%,86.9%,90.0%,
30호기 - 우진 150T,iMEB2 BOBBIN IV," 22,400 ", - ," 22,400 ",19.0,19.0,0.0,18.7,100.0%,98.2%,100.0%,98.2%,87.0%,
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 33,708 ", - ," 33,708 ",22.3,22.2,0.1,17.8,100.0%,80.2%,99.4%,79.7%,87.0%,"*생산간 모니터링 중 이스케이프부 및 회전부 핀 놓침 다수 발생
-. 서보값(회전부 0도 보정) 미세 조정
 → 회전부 이스케이프에서 핀 취출 시 미세 상향 작동하며 핀 취출
 → 주간 서보값 조정후 야간 생산간 발생 없음 (작업자 인터뷰)
-. 직진피더부 특정 위치에서 공급 지연 다수 발생
 → 직진 피더 레일과 지그, 이스케이프간 1:1 매칭 필요
*야간 이송부 지그 이물로 인한 핀 휨 불량
→ 지그 임시 청소"
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 38,100 ", - ," 38,100 ",22.3,22.1,0.3,20.1,100.0%,91.2%,98.8%,90.1%,87.0%,
35호기 - ARBURG 100T (자동),#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
