설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,400 ", - ," 1,400 ",8.835,7.396,1.439,7.389,100.0%,99.9%,83.7%,83.6%,87%,0
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,114 ", 6 ," 1,120 ",9.526,5.927,3.599,5.911,99.5%,99.7%,62.2%,61.7%,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,660 ", - ," 1,660 ",8.312,8.312,0,7.147,100.0%,86.0%,100.0%,86.0%,83%,0
10호기 - 원일 100T,LINK OVER MOLD," 8,200 ", - ," 8,200 ",24,24,0,20.5,100.0%,85.4%,100.0%,85.4%,85%,0
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,500 ", - ," 2,500 ",7.157,7.157,0,6.806,100.0%,95.1%,100.0%,95.1%,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 3,312 ", 1 ," 3,313 ",10.342,9.959,0.383,8.467,100.0%,85.0%,96.3%,81.8%,83%,0
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 4,072 ", - ," 4,072 ",8.337,7.933,0.404,6.56,100.0%,82.7%,95.2%,78.7%,84%,0
14호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 6,900 ", - ," 6,900 ",16.425,15.304,1.121,11.5,100.0%,75.1%,93.2%,70.0%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 2,840 ", - ," 2,840 ",8.329,7.896,0.433,7.1,100.0%,89.9%,94.8%,85.2%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 12,900 ", - ," 12,900 ",12.002,12.002,0,10.033,100.0%,83.6%,100.0%,83.6%,87%,0
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 10,000 ", - ," 10,000 ",10.332,10.059,0.273,7.778,100.0%,77.3%,97.4%,75.3%,85%,0
21호기 - 원일 120T,600H M/CORE COVER CENTER," 11,480 ", - ," 11,480 ",8.25,5.594,2.656,4.783,100.0%,85.5%,67.8%,58.0%,87%,0
22호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
23호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
24호기 - 우진 220T,POWER PACK COVER (검사 전), 756 , - , 756 ,7.334,7.159,0.175,7.14,100.0%,99.7%,97.6%,97.4%,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,000 ", 7 ," 9,007 ",20.67,20.67,0,18.264,99.9%,88.4%,100.0%,88.3%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 27,420 ", - ," 27,420 ",23.998,23.668,0.33,21.327,100.0%,90.1%,98.6%,88.9%,85%,0
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 5,654 ", - ," 5,654 ",10.832,10.832,0,10.366,100.0%,95.7%,100.0%,95.7%,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 9,400 ", - ," 9,400 ",8.268,8.268,0,7.833,100.0%,94.7%,100.0%,94.7%,87%,0
29호기 - 우진 150T,PLUG TOP 2차 SPOOL," 16,094 ", - ," 16,094 ",19.59,19.59,0,18.776,100.0%,95.8%,100.0%,95.8%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 27,300 ", - ," 27,300 ",23.83,23.708,0.122,22.75,100.0%,96.0%,99.5%,95.5%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 39,500 ", 9 ," 39,509 ",23.996,23.996,0,20.852,100.0%,86.9%,100.0%,86.9%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 14,000 ", 25 ," 14,025 ",9.998,9.998,0,7.402,99.8%,74.0%,100.0%,73.9%,85%,0
35호기 - ARBURG 100T (자동),LK EV CMU BASE, 988 , - , 988 ,8.303,8.303,0,7.41,100.0%,89.2%,100.0%,89.2%,90%,0
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 30,800 ", 8 ," 30,808 ",17.01,17.01,0,16.26,100.0%,95.6%,100.0%,95.6%,85%,0
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 7,495 ", - ," 7,495 ",11.099,10.808,0.291,10.618,100.0%,98.2%,97.4%,95.7%,90%,0
39호기 - ZHAFIR 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
40호기 - ARBURG 200T (자동),KEV3 COVER 5.0 LN QC (9144060573)," 5,400 ", - ," 5,400 ",11.017,11.017,0,10.68,100.0%,96.9%,100.0%,96.9%,87%,0
41호기 - 우진 220T (자동),KEV3 COVER 3.5 LN QC (9144060585)," 10,530 ", - ," 10,530 ",20.495,20.32,0.175,19.76,100.0%,97.2%,99.1%,96.4%,87%,0
42호기 - 우진 220T (자동),KEV1 COVER 3.5 (9144060220)," 18,850 ", - ," 18,850 ",28,28,0,26.704,100.0%,95.4%,100.0%,95.4%,87%,0
43호기 - ARBURG 200T,ADAPTOR AIRTUBE, 372 , - , 372 ,8.395,8.011,0.384,7.233,100.0%,90.3%,95.4%,86.2%,87%,0
44호기 - 우진 220T,IDB COVER ASS'Y," 1,812 ", - ," 1,812 ",8.897,8.897,0,8.506,100.0%,95.6%,100.0%,95.6%,87%,0
45호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,SRR 40 HOUSING ASSY RR(N00.335-02)," 2,197 ", 14 ," 2,211 ",16.979,15.927,1.052,10.809,99.4%,67.9%,93.8%,63.3%,84%,0
47호기 - ARBURG 200T,MGH80 ESC HOUSING," 2,438 ", - ," 2,438 ",16.026,14.837,1.189,13.883,100.0%,93.6%,92.6%,86.6%,75%,0
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,292 ", 2 ," 2,294 ",18,13.439,4.561,13.382,99.9%,99.6%,74.7%,74.3%,87%,0
49호기 - ARBURG 300T,iMEB2.1 ECU HOUSING (필터융착)," 3,095 ", 10 ," 3,105 ",24.094,22.553,1.541,20.7,99.7%,91.8%,93.6%,85.6%,84%,0
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,869 ", 4 ," 2,873 ",23.957,20.164,3.793,16.361,99.9%,81.1%,84.2%,68.2%,87%,0
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,769 ", 2 ," 2,771 ",19.42,18.247,1.173,16.164,99.9%,88.6%,94.0%,83.2%,87%,0
52호기 - ARBURG 160T,IDB HOUSING MOLD," 1,035 ", - ," 1,035 ",10.333,10.083,0.25,9.775,100.0%,96.9%,97.6%,94.6%,85%,0
53호기 - 재피어 450T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,85.5%,,
