설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE RH," 1,421 ", 1 ," 1,422 ",8.196,8.196,0,7.505,99.9%,91.6%,100.0%,91.5%,87%,0
06호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,460 ", - ," 1,460 ",8.312,8.312,0,6.286,100.0%,75.6%,100.0%,75.6%,83%,0
10호기 - 원일 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 3,124 ", - ," 3,124 ",10.012,9.703,0.309,7.984,100.0%,82.3%,96.9%,79.7%,83%,0
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 9,720 ", 1 ," 9,721 ",19.347,18.987,0.36,15.662,100.0%,82.5%,98.1%,80.9%,84%,0
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 8,480 ", - ," 8,480 ",16.014,15.816,0.198,13.663,100.0%,86.4%,98.8%,85.3%,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 4,080 ", - ," 4,080 ",8.329,8.329,0,6.8,100.0%,81.6%,100.0%,81.6%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,020 ", - ," 8,020 ",23.5,23.283,0.217,20.05,100.0%,86.1%,99.1%,85.3%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 24,784 ", - ," 24,784 ",23.504,23.155,0.349,19.277,100.0%,83.3%,98.5%,82.0%,87%,0
20호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,600H M/CORE COVER L.V," 12,124 ", 12 ," 12,136 ",8,6.567,1.433,4.618,99.9%,70.3%,82.1%,57.7%,87%,"*야간 시업 중 자재 인서트 불량 (2회)
→ 다관절로보트 자재 취출 및 인서트 위치 재조정
*야간 온수기 작동 이상 알람. 온수기 교체
*야간 비전 검사부 폭 조절부 에어호스 파손. 호스 점검
*야간 완제품 지그 스토퍼 고정볼트 파손
→ 스피드 컨트롤러 기능 소실로 인한 작동 불량
→ 스피드 컨트롤러 및 고정볼트 교체"
22호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 17,554 ", - ," 17,554 ",20.53,20.03,0.5,19.504,100.0%,97.4%,97.6%,95.0%,90%,"*주간 시업 중 Cav.2, 3, 4 제품 틀어짐
→ 형개 간 상측 마찰 확인. 작업자 초도품 지그 검사중 검출
→ 각 구간 코어 청소 후 습합성 점검"
24호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 8,884 ", 23 ," 8,907 ",20.339,20.217,0.122,18.062,99.7%,89.3%,99.4%,88.6%,90%,0
26호기 - 우진 220T,600D 외부 CASE (KOPLA)," 11,159 ", - ," 11,159 ",20.348,19.97,0.378,19.218,100.0%,96.2%,98.1%,94.4%,85%,*주간 Cav.3 Bush 찍힘. 금형 점검
27호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 17,600 ", - ," 17,600 ",15.424,15.16,0.264,14.667,100.0%,96.7%,98.3%,95.1%,87%,0
29호기 - 우진 150T,SP2 PE 수밀 커버," 1,284 ", - ," 1,284 ",10.297,9.953,0.344,9.63,100.0%,96.8%,96.7%,93.5%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 27,800 ", - ," 27,800 ",24.339,24.01,0.329,23.167,100.0%,96.5%,98.6%,95.2%,87%,"*주간 Cav.8 제품 바닥면 Gas
→ 금형 간이 청소 후 재발생. 금형보전팀 금형 점검"
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 39,200 ", 13 ," 39,213 ",23.497,23.497,0,20.696,100.0%,88.1%,100.0%,88.1%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 17,000 ", 29 ," 17,029 ",11.998,11.417,0.581,8.988,99.8%,78.7%,95.2%,74.8%,85%,"*야간 공급기 이송부 상, 하 작동 이상 알람
→ 배선 중간부 단선 확인. 단선부 재포설"
35호기 - ARBURG 100T (자동),#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 34,108 ", 8 ," 34,116 ",18.817,18.817,0,18.006,100.0%,95.7%,100.0%,95.7%,85%,*주간 공급부 라인 피더 컨트롤러 입고 설치 - 설비보전팀
38호기 - ARBURG 100T (자동),#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
39호기 - ZHAFIR 120T,PROTECTION CAP HP (신U 디젤)," 10,730 ", - ," 10,730 ",9.999,9.694,0.305,9.627,100.0%,99.3%,96.9%,96.3%,90%,0
40호기 - ARBURG 200T (자동),KEV3 COVER QC_P (9144060696)," 10,150 ", - ," 10,150 ",23.501,23.31,0.191,22.556,100.0%,96.8%,99.2%,96.0%,87%,0
