설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE RH," 1,612 ", 4 ," 1,616 ",9.36,8.54,0.82,8.53,99.8%,99.9%,91.2%,90.9%,87%,0
06호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 7,840 ", - ," 7,840 ",13.40,13.40,0.00,13.07,100.0%,97.5%,100.0%,97.5%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 2,316 ", - ," 2,316 ",7.00,7.00,0.00,5.92,100.0%,84.6%,100.0%,84.6%,83%,0
13호기 - MEW 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 12,700 ", - ," 12,700 ",23.02,22.93,0.09,20.46,100.0%,89.2%,99.6%,88.9%,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 9,060 ", - ," 9,060 ",16.66,16.66,0.00,15.10,100.0%,90.6%,100.0%,90.6%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,160 ", - ," 8,160 ",24.00,23.67,0.33,20.40,100.0%,86.2%,98.6%,85.0%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 12,400 ", - ," 12,400 ",12.00,11.42,0.59,9.64,100.0%,84.5%,95.1%,80.4%,87%,"*야간 비전 정렬부 카메라 작동 이상
→ 센서 및 배선 점검"
20호기 - MEW 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 4,480 ", - ," 4,480 ",7.14,6.86,0.27,6.84,100.0%,99.7%,96.2%,95.9%,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 16,650 ", - ," 16,650 ",19.26,19.02,0.24,18.50,100.0%,97.3%,98.7%,96.1%,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 6,848 ", 16 ," 6,864 ",18.00,17.90,0.10,13.92,99.8%,77.8%,99.4%,77.1%,90%,0
26호기 - 우진 220T,600D 외부 CASE (KOPLA)," 16,528 ", - ," 16,528 ",18.84,18.50,0.33,18.07,100.0%,97.7%,98.2%,95.9%,85%,"*야간 Cav.8 게이트부 이물
→ 해당부 금형 청소 및 하트온도 조정"
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 5,550 ", - ," 5,550 ",10.63,10.21,0.42,10.18,100.0%,99.6%,96.1%,95.7%,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 10,900 ", - ," 10,900 ",9.76,9.15,0.60,9.08,100.0%,99.2%,93.8%,93.1%,87%,0
29호기 - 우진 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN WSV," 15,200 ", - ," 15,200 ",13.33,13.00,0.33,12.67,100.0%,97.5%,97.5%,95.0%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 38,008 ", 35 ," 38,043 ",24.00,24.00,0.00,20.08,99.9%,83.7%,100.0%,83.6%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 26,208 ", 36 ," 26,244 ",24.00,23.74,0.26,13.85,99.9%,58.3%,98.9%,57.6%,85%,"*주간 인서트 알람 [1]
→ 인서트 로보트 푸셔 척 볼트 이탈 및 배열판 핀 취출 위치 틀어짐
*주간 인서트 알람 [2]
→ 가동중 재발생. 인서트 로보트 푸셔부 점검 및 전 구간 위치 재조정"
35호기 - ARBURG 100T (자동),TAS GEN2.0 PIN BLOCK MOLD," 27,992 ", - ," 27,992 ",12.00,12.00,0.00,9.33,100.0%,77.8%,100.0%,77.8%,90%,0
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 13,500 ", 15 ," 13,515 ",7.87,7.14,0.74,7.13,99.9%,100.0%,90.6%,90.5%,85%,"*야간 직진피더부 핀 공급 지연
→ 직진피더부 지그 청소, LF실린더 위치 조정"
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 16,500 ", - ," 16,500 ",23.99,23.99,0.00,23.38,100.0%,97.4%,100.0%,97.4%,90%,0
39호기 - ZHAFIR 120T,Theta3 AIM Nipple PCSV," 10,494 ", - ," 10,494 ",26.21,26.21,0.00,25.07,100.0%,95.6%,100.0%,95.6%,90%,0
40호기 - ARBURG 200T (자동),KEV3 COVER 5.0 LN QC (9144060573)," 4,860 ", - ," 4,860 ",10.92,10.58,0.33,9.61,100.0%,90.8%,96.9%,88.0%,87%,0
41호기 - 우진 220T (자동),KEV2 COVER 10.5 GL3 (9144060669)," 12,880 ", - ," 12,880 ",25.02,25.02,0.00,23.97,100.0%,95.8%,100.0%,95.8%,87%,0
42호기 - 우진 220T (자동),KEV3 COVER QC_P (9144060696)," 4,740 ", - ," 4,740 ",12.00,12.00,0.00,10.53,100.0%,87.8%,100.0%,87.8%,87%,0
43호기 - ARBURG 200T,ADAPTOR AIRTUBE, 380 , 4 , 384 ,8.55,7.47,1.08,7.47,99.0%,100.0%,87.4%,86.5%,87%,"*주간 파팅라인 Burr
→ 금형보전팀 금형 점검"
44호기 - 우진 220T,IDB COVER ASS'Y," 1,516 ", - ," 1,516 ",8.00,7.79,0.21,7.12,100.0%,91.3%,97.4%,89.0%,87%,0
45호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,SRR 40 HOUSING ASSY FL(N00.335-03)," 2,285 ", 7 ," 2,292 ",18.87,14.95,3.91,11.21,99.7%,74.9%,79.3%,59.2%,84%,"*주간 숏핀 밴딩 이상
→ 설비보전팀 프레스 금형 분해 후 점검 및 청소"
47호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75%,0
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,225 ", 8 ," 3,233 ",19.66,18.94,0.72,18.86,99.8%,99.6%,96.4%,95.7%,87%,"*주간 모터핀 공급부 프로그램 작동 이상 및 모터 Off
→ 설비보전팀 프로그램 점검 후 재부팅, 재가동"
49호기 - ARBURG 300T,iMEB2 ECU HOUSING (필터융착)," 1,540 ", 6 ," 1,546 ",10.88,10.31,0.57,10.31,99.6%,100.0%,94.7%,94.4%,84%,"*야간 연속생산 중 금형보호 및 로보트 비상정지 알람
→ 상측 런너 자유낙하 중 걸림으로 인한 눌림
→ 런너 제거, 설비 재부팅, 로보트 원점, 설비 승온 후 가동"
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,537 ", 22 ," 3,559 ",23.96,22.65,1.30,20.27,99.4%,89.5%,94.6%,84.1%,87%,"*주간 Cav.3 카세트코어 푸셔 하강 센서 이상
→ 이젝터 청소. 다관절로보트 인서트 위치 조정
*주간 공급부 안전문 센서 열림 알람
→ 센서 위치 점검
*야간 Cav.1, 3, 4 카세트코어 푸셔 하강 센서 이상
→ 이젝터 청소, 다관절로보트 인서트 위치 조정"
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,944 ", - ," 2,944 ",19.42,19.08,0.35,17.17,100.0%,90.0%,98.2%,88.4%,87%,*주간 핀 카운트 알람 (26회)
52호기 - ARBURG 160T,IDB HOUSING MOLD, 902 , - , 902 ,10.33,9.78,0.55,8.52,100.0%,87.1%,94.6%,82.4%,85%,"*야간 다관절로보트 6.3 M/P 척 개폐 동작 이상 (5회)
→ 다관절로보트 척 동작 점검 및 센서 점검"
53호기 - 재피어 450T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
56호기 - MEW 250T,IDB GEN2 H/G_MIRRORED (필터융착), 699 , 1 , 700 ,8.05,8.05,0.00,7.39,99.9%,91.8%,100.0%,91.7%,85%,0
,,,,,,,,,,,,,,
,,,,,,,,,,,금일 효율,87.4%,,
,,,,,,,,,,,당월 효율,86.1%,,
