설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH, 598 , - , 598 ,3.713,3.713,0,3.156,100.0%,85.0%,100.0%,85.0%,87%,0
06호기 - 원일 150T,GEN4 EXHAUST LH," 2,508 ", 1 ," 2,509 ",13.892,13.603,0.289,13.242,100.0%,97.3%,97.9%,95.3%,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,620 ", - ," 1,620 ",8.312,8.312,0,6.975,100.0%,83.9%,100.0%,83.9%,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 10,680 ", - ," 10,680 ",18.658,18.658,0,17.8,100.0%,95.4%,100.0%,95.4%,85%,0
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,600 ", - ," 2,600 ",7.407,7.407,0,7.078,100.0%,95.6%,100.0%,95.6%,86%,0
12호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 11,100 ", - ," 11,100 ",20.678,20.678,0,17.884,100.0%,86.5%,100.0%,86.5%,84%,0
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 12,180 ", 4 ," 12,184 ",24.022,23.841,0.181,19.63,100.0%,82.3%,99.2%,81.7%,84%,0
15호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 7,180 ", 8 ," 7,188 ",20,20,0,17.97,99.9%,89.9%,100.0%,89.8%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 22,600 ", - ," 22,600 ",20.333,20.127,0.206,17.578,100.0%,87.3%,99.0%,86.5%,87%,"*주간 공급부 몰딩 플레이트 인덱스 공급부 하강 이상 알람
→ 센서 점검 후 자재 안착 위치 조정"
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 11,600 ", - ," 11,600 ",9.501,9.501,0,9.022,100.0%,95.0%,100.0%,95.0%,85%,"*주간 디버링 설비 조건 변경 Try-out : END부 파손 건 개선 활동
-. 에어 시간 조정 : 기존 400초 → 변경 100초
-. 제품 투입수량 1,200ea
→ 파손 불량 감소 확인, 핀 압입부 바렐 이물 불량 증가
→ 내경부 Burr 상한NG (Max 0.113)"
21호기 - 원일 120T,600H M/CORE COVER CENTER," 34,944 ", 2 ," 34,946 ",16,16,0,14.561,100.0%,91.0%,100.0%,91.0%,87%,0
22호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
23호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,840 ", 23 ," 9,863 ",20.67,20.52,0.15,20,99.8%,97.5%,99.3%,96.5%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 13,200 ", - ," 13,200 ",11.999,11.701,0.298,10.267,100.0%,87.7%,97.5%,85.6%,85%,*주간 수지 공급 이상 건 설비보전팀 레벨러 교체
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 4,500 ", - ," 4,500 ",10.332,8.827,1.505,8.25,100.0%,93.5%,85.4%,79.8%,85%,"*주간 Cav.7 부쉬부 찍힘
→ 로보트 자재 및 제품 취출 부 간섭 없음. 금형 점검 요청"
28호기 - 우진 150T,iMEB2 BOBBIN OV," 10,100 ", - ," 10,100 ",8.869,8.494,0.375,8.417,100.0%,99.1%,95.8%,94.9%,87%,0
29호기 - 우진 150T,SP2 PE 수밀 커버, 780 , - , 780 ,6.9,6.429,0.471,5.85,100.0%,91.0%,93.2%,84.8%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 14,300 ", - ," 14,300 ",12.73,11.918,0.812,11.917,100.0%,100.0%,93.6%,93.6%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 38,800 ", 36 ," 38,836 ",23.996,23.832,0.164,20.497,99.9%,86.0%,99.3%,85.3%,85%,*야간 배열판 핀 안착 불량. 지그 청소
