설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,83.0%,
10호기 - 원일 100T,LINK OVERMOLD (N)," 8,080 ", - ," 8,080 ",21.2,21.1,0.1,20.2,100.0%,95.8%,99.4%,95.3%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,600 ", - ," 2,600 ",8.2,7.8,0.4,7.1,100.0%,90.4%,95.1%,86.0%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 3,620 ", 1 ," 3,621 ",13.5,11.1,2.4,9.3,100.0%,83.6%,82.0%,68.5%,83.0%,"*주간 솔벨브 작동 불량. 솔벨브 교체, 배선 점검
*야간 상측 금형 런너 고착
→ 제거 중 끊어지며 제거 불가. 금형 하차 후 수리 요청
→ 금형보전팀 수리 일정 지연으로 2차 금형 상차 후 Set-up"
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 12,480 ", 1 ," 12,481 ",20.3,20.2,0.2,20.1,100.0%,99.7%,99.1%,98.8%,84.0%,
14호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,84.0%,
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 9,540 ", 12 ," 9,552 ",20.3,20.1,0.3,15.9,99.9%,79.3%,98.8%,78.2%,84.0%,
16호기 - 원일 120T,LINK OVERMOLD (N)," 2,900 ", - ," 2,900 ",8.0,7.7,0.3,7.3,100.0%,94.5%,95.9%,90.6%,86.0%,
