설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,206 ", - ," 1,206 ",7.23,6.369,0.861,6.365,100.0%,99.9%,88.1%,88.0%,87%,*주간 Coil ass'y 확보 후 가동
06호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,GEN4 EXHAUST RH," 1,381 ", 6 ," 1,387 ",8.592,7.321,1.271,7.32,99.6%,100.0%,85.2%,84.8%,85%,*야간 Coil ass'y 확보 후 가동
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 3,000 ", - ," 3,000 ",15.13,15.13,0,12.916,100.0%,85.4%,100.0%,85.4%,83%,0
10호기 - 원일 100T,LINK OVER MOLD," 7,680 ", - ," 7,680 ",22.5,22.5,0,19.2,100.0%,85.3%,100.0%,85.3%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 2,772 ", - ," 2,772 ",8.839,8.5,0.339,7.084,100.0%,83.3%,96.2%,80.1%,83%,0
13호기 - MEW 150T,KEV3 DRIVE 20.5Ω(9144060245)," 10,408 ", - ," 10,408 ",19.347,19.347,0,16.769,100.0%,86.7%,100.0%,86.7%,84%,0
14호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 9,420 ", - ," 9,420 ",19.254,19.108,0.146,15.7,100.0%,82.2%,99.2%,81.5%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 2,840 ", - ," 2,840 ",8.329,8.068,0.261,7.1,100.0%,88.0%,96.9%,85.2%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 22,308 ", 5 ," 22,313 ",20.833,20.203,0.63,17.355,100.0%,85.9%,97.0%,83.3%,87%,0
20호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
22호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
23호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,124 ", 10 ," 9,134 ",19.169,19.169,0,18.522,99.9%,96.6%,100.0%,96.5%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 25,492 ", - ," 25,492 ",22.499,22.229,0.27,19.827,100.0%,89.2%,98.8%,88.1%,85%,0
27호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 9,000 ", - ," 9,000 ",7.868,7.605,0.263,7.5,100.0%,98.6%,96.7%,95.3%,87%,0
29호기 - 우진 150T,RADOME," 3,550 ", - ," 3,550 ",13.224,12.451,0.773,11.94,100.0%,95.9%,94.2%,90.3%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 27,992 ", - ," 27,992 ",24,24,0,23.326,100.0%,97.2%,100.0%,97.2%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 36,900 ", 20 ," 36,920 ",22.497,22.497,0,19.486,99.9%,86.6%,100.0%,86.6%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 34,400 ", 46 ," 34,446 ",22.496,22.356,0.14,18.18,99.9%,81.3%,99.4%,80.7%,85%,"*야간 Cav.5, 6 와인딩부 파팅 Burr. 슬라이드 탈거 후 청소"
35호기 - ARBURG 100T (자동),iMEB2 FORK PIN COVER," 8,500 ", - ," 8,500 ",8.869,8.264,0.605,8.264,100.0%,100.0%,93.2%,93.2%,90%,*야간 전 케비티 후크 조립부 Gas. 금형 청소
36호기 - ZHAFIR 120T,600C 1차 SPOOL (KOPLA)," 10,200 ", - ," 10,200 ",11.735,11.436,0.299,9.917,100.0%,86.7%,97.5%,84.5%,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 26,108 ", - ," 26,108 ",14.377,14.039,0.338,13.779,100.0%,98.1%,97.6%,95.8%,85%,"*주간 Cav.9, 10 와인딩 홈 구간 Burr
→ 금형 점검 중 눌림 확인. 점검"
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 15,414 ", - ," 15,414 ",22.49,22.381,0.109,21.837,100.0%,97.6%,99.5%,97.1%,90%,0
39호기 - ZHAFIR 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
40호기 - ARBURG 200T (자동),#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
41호기 - 우진 220T (자동),KEV3 COVER 3.5 LN QC (9144060585)," 4,690 ", - ," 4,690 ",9.491,9.275,0.216,8.859,100.0%,95.5%,97.7%,93.3%,87%,0
42호기 - 우진 220T (자동),KEV3 COVER QC_P (9144060696)," 4,760 ", - ," 4,760 ",12,12,0,10.578,100.0%,88.2%,100.0%,88.2%,87%,0
43호기 - ARBURG 200T,ADAPTOR AIRTUBE, 304 , 8 , 312 ,8.395,8.395,0,6.067,97.4%,72.3%,100.0%,70.4%,87%,0
44호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
45호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,SRR 30 HOUSING ASSY (SLAVE), 608 , - , 608 ,10.721,4.25,6.471,1.993,100.0%,46.9%,39.6%,18.6%,84%,"*주, 야간 융착기 필터 공급부 레일 자재 걸림 다수 발생
*주, 야간 융착기 리크 NG
→ 상기 2건 설비보전팀 주간 융착기 점검. 야간 가동 중 재발생
→ 업체 내방 점검 요청
*야간 롱핀 컷팅기 피딩 위치 정위치 센서 알람
→ 센서 손상으로 고정 불가. 센서 스페어 부족. 임시 고정 후 가동 중
*야간 롱핀 컷팅 위치 치우침으로 인한 형상 불량 및 안착 불량
→ 피딩 위치 틀어짐 확인. 피딩 위치 및 스프라켓 텐션 조정"
47호기 - ARBURG 200T,MGH80 ESC HOUSING," 1,036 ", - ," 1,036 ",6.839,6.641,0.198,5.899,100.0%,88.8%,97.1%,86.3%,75%,0
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,509 ", 1 ," 2,510 ",15.154,14.992,0.162,14.641,100.0%,97.7%,98.9%,96.6%,87%,0
49호기 - ARBURG 300T,iMEB2 ECU HOUSING (필터융착)," 3,015 ", 5 ," 3,020 ",22.588,22.438,0.15,20.133,99.8%,89.7%,99.3%,89.0%,84%,*주간 부쉬 공급부 이송기 자재 취출 불량. 위치 재조정
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,307 ", 6 ," 3,313 ",22.463,21.797,0.666,18.866,99.8%,86.6%,97.0%,83.8%,87%,"*주간 사출기 고온, 저온 알람 (2회)
'*야간 Cav.1, 4 모터핀 하강 푸셔 알람
→ 다관절로보트 모터핀 인서트 위치 Z축 조정"
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,628 ", 2 ," 2,630 ",18.015,17.434,0.581,15.342,99.9%,88.0%,96.8%,85.1%,87%,0
52호기 - ARBURG 160T,IDB HOUSING MOLD, 831 , 2 , 833 ,8.833,8.65,0.183,7.867,99.8%,90.9%,97.9%,88.8%,85%,*주간 Cav2 6.3M/P 눌림. 로보트 인서트 위치 재조정
53호기 - 재피어 450T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,86.5%,,
