설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE RH," 1,327 ", 11 ," 1,338 ",8.5,7.1,1.4,7.1,99.2%,100.0%,83.3%,82.6%,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,VIS SOLENOID BODY (NU), 892 , - , 892 ,4.0,4.0,0.0,3.4,100.0%,85.4%,100.0%,85.4%,83.0%,
10호기 - 원일 100T,ROTOR OS SLEEVE," 8,280 ", - ," 8,280 ",16.7,16.5,0.2,13.8,100.0%,83.6%,99.1%,82.8%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 3,500 ", - ," 3,500 ",9.9,9.5,0.4,9.5,100.0%,100.0%,96.1%,96.0%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 3,120 ", - ," 3,120 ",12.0,12.0,0.0,8.0,100.0%,66.4%,100.0%,66.4%,83.0%,
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 5,692 ", 2 ," 5,694 ",10.1,9.5,0.6,9.2,100.0%,96.5%,94.1%,90.8%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 4,200 ", 12 ," 4,212 ",12.0,12.0,0.0,6.8,99.7%,56.5%,100.0%,56.3%,84.0%,
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 12,540 ", - ," 12,540 ",24.0,23.8,0.2,20.9,100.0%,87.7%,99.3%,87.1%,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 7,600 ", - ," 7,600 ",22.3,22.1,0.3,19.0,100.0%,86.1%,98.9%,85.1%,86.0%,
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 26,000 ", - ," 26,000 ",24.0,23.9,0.1,20.2,100.0%,84.6%,99.6%,84.2%,87.0%,
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 11,600 ", - ," 11,600 ",9.4,9.0,0.3,9.0,100.0%,100.0%,96.3%,96.3%,85.0%,
21호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
22호기 - ARBURG 200T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 9,360 ", - ," 9,360 ",10.9,10.7,0.2,10.4,100.0%,97.2%,97.9%,95.2%,90.0%,
24호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
25호기 - 우진 220T,MEB5 ESC COVER," 10,440 ", 16 ," 10,456 ",22.2,22.0,0.1,21.2,99.8%,96.2%,99.4%,95.5%,90.0%,
26호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 7,414 ", - ," 7,414 ",16.3,15.1,1.2,13.6,100.0%,90.0%,92.5%,83.2%,85.0%,
28호기 - 우진 150T,iMEB2 BOBBIN OV," 9,200 ", - ," 9,200 ",8.1,7.8,0.3,7.7,100.0%,98.8%,96.2%,95.0%,87.0%,
29호기 - 우진 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
30호기 - 우진 150T,iMEB2 BOBBIN IV," 26,100 ", - ," 26,100 ",24.0,21.8,2.2,21.8,100.0%,99.9%,90.7%,90.6%,87.0%,
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 36,608 ", 24 ," 36,632 ",22.3,22.3,0.0,19.3,99.9%,86.6%,100.0%,86.5%,87.0%,
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 38,000 ", 31 ," 38,031 ",22.3,22.3,0.0,20.1,99.9%,89.9%,100.0%,89.8%,87.0%,
35호기 - ARBURG 100T (자동),iMEB2 FORK PIN COVER," 7,620 ", - ," 7,620 ",7.9,7.4,0.5,7.4,100.0%,100.0%,93.9%,93.9%,90.0%,
36호기 - ZHAFIR 120T,600C 1차 SPOOL (KOPLA)," 8,073 ", - ," 8,073 ",11.7,11.7,0.0,7.8,100.0%,66.9%,100.0%,66.9%,87.0%,
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 12,008 ", 25 ," 12,033 ",7.4,7.4,0.0,6.4,99.8%,85.8%,100.0%,85.6%,85.0%,
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 13,580 ", - ," 13,580 ",20.0,19.7,0.3,19.2,100.0%,97.9%,98.3%,96.2%,90.0%,
39호기 - ZHAFIR 120T,Theta3 AIM Nipple PCSV," 8,952 ", - ," 8,952 ",22.5,22.5,0.0,21.4,100.0%,95.0%,100.0%,95.0%,90.0%,
40호기 - ARBURG 200T (자동),KEV3 COVER 5.0 LN QC (9144060573)," 10,750 ", - ," 10,750 ",22.2,22.1,0.1,21.3,100.0%,96.1%,99.5%,95.6%,87.0%,
41호기 - 우진 220T (자동),KEV2 COVER 10.5 GL3 (9144060669)," 12,884 ", - ," 12,884 ",24.0,24.0,0.0,24.0,100.0%,99.8%,100.0%,99.8%,87.0%,
42호기 - 우진 220T (자동),KEV2 COVER 10.5 QC(9144060743)," 6,464 ", - ," 6,464 ",17.3,17.3,0.0,16.5,100.0%,95.2%,100.0%,95.2%,87.0%,
43호기 - ARBURG 200T,ADAPTOR AIRTUBE, 345 , - , 345 ,8.4,8.2,0.2,6.7,100.0%,81.5%,98.0%,79.9%,87.0%,
44호기 - 우진 220T,IDB COVER ASS'Y," 1,470 ", - ," 1,470 ",8.0,7.7,0.3,6.9,100.0%,90.0%,95.9%,86.3%,87.0%,
45호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
46호기 - MEW 250T,SRR 40 HOUSING ASSY FL(N00.335-03)," 1,746 ", 13 ," 1,759 ",15.3,11.7,3.6,8.6,99.3%,73.5%,76.3%,55.7%,84.0%,
47호기 - ARBURG 200T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,75.0%,
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,501 ", 5 ," 2,506 ",15.7,15.0,0.7,14.6,99.8%,97.4%,95.8%,93.2%,87.0%,
