설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,*야간 파이널 검사기 회전 형판 작동 이상. 설비 정지
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,080 ", 4 ," 1,084 ",7.00,6.43,0.57,5.72,99.6%,88.9%,91.9%,81.5%,87%,0
08호기 - 원일 120T,GEN4 EXHAUST RH, 880 , - , 880 ,5.18,4.65,0.53,4.64,100.0%,99.8%,89.8%,89.7%,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,040 ", - ," 1,040 ",5.00,4.64,0.36,4.48,100.0%,96.5%,92.8%,89.6%,83%,"*주간 계량 중 스크류 미회전, 석백 및 사출 간 소음
→ 생산팀 회전축 윤활 작업. 요크부 점검 후 동증상. 설비보전팀 설비점검"
10호기 - 원일 100T,ROTOR OS SLEEVE," 4,176 ", - ," 4,176 ",8.33,8.33,0.00,6.96,100.0%,83.6%,100.0%,83.6%,85%,0
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 5,000 ", - ," 5,000 ",14.01,14.01,0.00,13.61,100.0%,97.1%,100.0%,97.1%,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 7,404 ", - ," 7,404 ",22.36,22.36,0.00,18.92,100.0%,84.6%,100.0%,84.6%,83%,0
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 10,140 ", - ," 10,140 ",17.04,16.65,0.39,16.34,100.0%,98.1%,97.7%,95.9%,84%,0
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 8,400 ", - ," 8,400 ",16.67,16.42,0.25,13.53,100.0%,82.4%,98.5%,81.2%,84%,0
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 9,840 ", - ," 9,840 ",19.66,19.28,0.38,16.40,100.0%,85.1%,98.1%,83.4%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,160 ", - ," 8,160 ",24.00,24.00,0.00,20.40,100.0%,85.0%,100.0%,85.0%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 13,192 ", - ," 13,192 ",12.00,11.73,0.28,10.26,100.0%,87.5%,97.7%,85.5%,87%,0
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 12,000 ", - ," 12,000 ",12.00,11.77,0.23,9.33,100.0%,79.3%,98.1%,77.8%,85%,0
21호기 - 원일 120T,600H M/CORE COVER H.V," 17,712 ", 3 ," 17,715 ",10.00,9.10,0.90,6.74,100.0%,74.1%,91.0%,67.4%,87%,"*야간 원자재 공급부 분리부 동작 이상 (2회)
→ 분리부 로드 휨 확인. 스페어 교체 후 위치 조정"
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 4,052 ", - ," 4,052 ",8.44,7.32,1.13,6.19,100.0%,84.6%,86.7%,73.3%,90%,"*야간 Cav.A 제품 뜯김으로 인한 상측 금형 고착
→ 5/27 동증상 이력. 상측 금형 하차 후 수리 요청 및 하트 런너 점검 요청"
23호기 - ARBURG 200T,TAS GEN2.0 COVER," 7,200 ", - ," 7,200 ",8.79,8.43,0.36,8.00,100.0%,94.9%,95.9%,91.1%,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,720 ", 1 ," 9,721 ",20.67,20.58,0.09,19.71,100.0%,95.8%,99.6%,95.4%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 26,808 ", - ," 26,808 ",24.00,23.87,0.13,20.85,100.0%,87.4%,99.5%,86.9%,85%,0
27호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 13,500 ", - ," 13,500 ",11.83,11.49,0.34,11.25,100.0%,97.9%,97.1%,95.1%,87%,0
29호기 - 우진 150T,RADOME," 4,040 ", - ," 4,040 ",10.34,10.34,0.00,10.32,100.0%,99.8%,100.0%,99.8%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 11,500 ", - ," 11,500 ",12.00,11.80,0.20,9.58,100.0%,81.2%,98.3%,79.9%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 38,600 ", 33 ," 38,633 ",24.00,24.00,0.00,20.39,99.9%,85.0%,100.0%,84.9%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 36,708 ", 47 ," 36,755 ",24.00,23.77,0.22,19.40,99.9%,81.6%,99.1%,80.7%,85%,"*야간 리미티드 스위치 노후화로 인한 작동 이상
→ 스위치 교체
*야간 인서트로보트 인서트 알람 횟수 증가
→ 인서트로보트 핀 픽업 및 인서트 위치 조정, 배열판 청소"
35호기 - ARBURG 100T (자동),LK EV CMU BASE, 528 , - , 528 ,4.32,4.32,0.00,3.96,100.0%,91.8%,100.0%,91.8%,90%,0
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 13,004 ", - ," 13,004 ",18.99,18.99,0.00,18.42,100.0%,97.0%,100.0%,97.0%,90%,0
