설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,082 ", - ," 1,082 ",8.0,7.6,0.4,5.7,100.0%,75.0%,95.2%,71.4%,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,500 ", - ," 1,500 ",8.3,8.3,0.0,6.5,100.0%,77.7%,100.0%,77.7%,83.0%,
10호기 - 원일 100T,LINK OVER MOLD," 7,320 ", - ," 7,320 ",23.5,23.5,0.0,18.3,100.0%,77.9%,100.0%,77.9%,85.0%,
11호기 - 원일 100T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 7,180 ", - ," 7,180 ",23.5,23.0,0.5,18.3,100.0%,79.7%,97.8%,78.0%,83.0%,"주/야간 런너 취출로보트 센서 이상으로 인한 작동 이상
→ 임시조치시간 증대. 수동 작업으로 효율 감소"
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 11,040 ", 1 ," 11,041 ",23.5,23.5,0.0,17.8,100.0%,75.6%,100.0%,75.6%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 11,400 ", 4 ," 11,404 ",23.5,23.1,0.4,18.4,100.0%,79.4%,98.4%,78.1%,84.0%,"주간 상측 금형 자중 하강
→ 작동유 온도 하한으로 인한 유압 이상 확인
→ 설비 예열 및 작동유 순환 대기로 시업 지연"
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 6,840 ", - ," 6,840 ",16.3,16.1,0.2,11.4,100.0%,70.7%,98.7%,69.8%,84.0%,주간 작업자 타공정 지원 (14호기)
16호기 - 원일 120T,LINK OVER MOLD," 5,380 ", - ," 5,380 ",16.3,16.0,0.3,13.5,100.0%,84.2%,97.9%,82.4%,86.0%,
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 22,600 ", - ," 22,600 ",23.5,22.2,1.3,17.6,100.0%,79.1%,94.5%,74.8%,87.0%,"주간 핀 압입기 상승 이상. 실린더 에어 조절, 작동성 점검
주간 완제품 배출부 이송기 전후 센서 이상(4회). 실린더 센서 교체
주간 압입기 회전부 그리퍼 터미널 고착
→ 그리퍼 잔여 이물 확인. 고착 터미널 제거 및 그리퍼 청소"
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 9,200 ", - ," 9,200 ",8.0,7.8,0.2,7.2,100.0%,91.9%,97.3%,89.4%,85.0%,
21호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 5,228 ", - ," 5,228 ",8.3,8.0,0.3,8.0,100.0%,99.6%,96.4%,96.0%,90.0%,
23호기 - ARBURG 200T,TAS GEN2.0 COVER," 8,096 ", 30 ," 8,126 ",10.0,9.7,0.3,9.0,99.6%,93.1%,97.0%,90.0%,90.0%,
24호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
25호기 - 우진 220T,MEB5 ESC COVER," 9,004 ", 16 ," 9,020 ",20.3,20.3,0.0,18.3,99.8%,89.9%,100.0%,89.8%,90.0%,
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 24,400 ", - ," 24,400 ",23.5,23.5,0.0,19.0,100.0%,80.8%,100.0%,80.8%,85.0%,
27호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
28호기 - 우진 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
29호기 - 우진 150T,SP2 PE 수밀 커버," 2,353 ", - ," 2,353 ",18.0,18.0,0.0,17.6,100.0%,98.2%,100.0%,98.2%,90.0%,
