설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
06호기 - 원일 150T,GEN4 EXHAUST LH," 2,803 ", 3 ," 2,806 ",15.91,14.82,1.10,14.81,99.9%,100.0%,93.1%,93.0%,87%,"*주간 가동간 Coil ass'y 공급부족으로 확보 후 가동
→ 6호기 작업자 5호기 투입 후 Coil ass'y 작업"
08호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,FCEV COVER ACV, 370 , - , 370 ,9.83,9.56,0.27,9.25,100.0%,96.8%,97.3%,94.1%,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 8,520 ", - ," 8,520 ",15.63,15.63,0.00,14.20,100.0%,90.9%,100.0%,90.9%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,"*주간 GPF 압력 센서 금형 셋팅 간 앵귤러핀 파손
→ 슬라이드 전진 상태에서 형폐. 셋팅간 작업 미흡"
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 2,956 ", - ," 2,956 ",9.31,8.94,0.37,7.55,100.0%,84.5%,96.0%,81.1%,83%,"*주간 Cav.5 슬리브부 외측 Burr 및 후크부 Gas
→ 금번 생산간 외관 모니터링 강화. 생산 종료 후 금형 수리 요청"
13호기 - MEW 150T,KEV3 DRIVE 20.5Ω(9144060245)," 4,320 ", 2 ," 4,322 ",9.31,8.93,0.38,6.96,100.0%,78.0%,95.9%,74.8%,84%,0
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 6,180 ", - ," 6,180 ",12.01,11.76,0.25,9.96,100.0%,84.6%,97.9%,82.9%,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 9,480 ", - ," 9,480 ",19.33,19.33,0.00,15.80,100.0%,81.7%,100.0%,81.7%,84%,0
