설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
06호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,GEN4 EXHAUST RH," 1,016 ", - ," 1,016 ",7.15,5.40,1.75,5.36,100.0%,99.3%,75.5%,75.0%,85%,"*주간 파이널테스트기 양품 취출 그리퍼 하강 동작 이상
→ 하강 중 제품 고정 브라켓과 간섭
→ 스토퍼 위치 조정 후 점검 중 하부 에어라인 누설 확인되어 교체
*주간 Coil ass'y 확보 후 가동
*주간 하측 금형 슬라이드 후진 미완료 알람
→ 슬라이드 점검
*주간 Coil ass'y 공급 부족. 설비 정지. 작업자 와인딩 작업 투입"
09호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 4,200 ", - ," 4,200 ",8.33,8.16,0.17,7.00,100.0%,85.8%,98.0%,84.0%,85%,0
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,500 ", - ," 2,500 ",7.36,6.98,0.38,6.81,100.0%,97.5%,94.9%,92.5%,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 6,772 ", - ," 6,772 ",20.68,20.68,0.00,17.31,100.0%,83.7%,100.0%,83.7%,83%,"*주간 런너 취출로보트 회전 동작 불가
→ 센서 작동 이상 확인. 센서선 및 위치 조정"
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 4,140 ", - ," 4,140 ",8.34,8.34,0.00,6.67,100.0%,80.0%,100.0%,80.0%,84%,0
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 7,260 ", - ," 7,260 ",15.14,14.31,0.83,11.70,100.0%,81.7%,94.5%,77.3%,84%,*주간 설비 자동화 구축 관련 FPSC 실시
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 11,220 ", - ," 11,220 ",22.33,22.22,0.11,18.70,100.0%,84.2%,99.5%,83.7%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,160 ", - ," 8,160 ",24.00,23.80,0.20,20.40,100.0%,85.7%,99.2%,85.0%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 26,200 ", - ," 26,200 ",24.00,23.91,0.10,20.38,100.0%,85.2%,99.6%,84.9%,87%,0
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 12,400 ", - ," 12,400 ",10.20,9.93,0.28,9.64,100.0%,97.2%,97.3%,94.5%,85%,0
21호기 - 원일 120T,600H M/CORE COVER L.V," 17,040 ", 35 ," 17,075 ",8.33,7.34,0.99,6.50,99.8%,88.6%,88.1%,77.8%,87%,"*야간 공급부 원자재 공급 불량
→ 자재 공급 분리 로드 휨 확인. 교체 후 위치 조정
*야간 비전검사부 제품 안착 불량
→ 지그 실린더 헤드 이탈 확인. 재체결 후 위치 조정"
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 5,140 ", - ," 5,140 ",8.42,8.26,0.15,7.85,100.0%,95.0%,98.2%,93.3%,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 7,143 ", - ," 7,143 ",8.50,8.19,0.31,7.94,100.0%,96.9%,96.4%,93.4%,90%,0
24호기 - 우진 220T,POWER PACK COVER (검사 전), 744 , - , 744 ,8.33,8.00,0.34,7.03,100.0%,87.9%,95.9%,84.3%,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,240 ", 1 ," 9,241 ",20.67,20.41,0.27,18.74,100.0%,91.8%,98.7%,90.6%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 26,700 ", - ," 26,700 ",24.00,23.77,0.23,20.77,100.0%,87.4%,99.0%,86.5%,85%,0
27호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 9,400 ", - ," 9,400 ",8.37,8.07,0.30,7.83,100.0%,97.1%,96.4%,93.6%,87%,0
29호기 - 우진 150T,PLUG TOP 2차 SPOOL," 19,600 ", - ," 19,600 ",24.39,24.20,0.19,22.87,100.0%,94.5%,99.2%,93.8%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 26,800 ", - ," 26,800 ",23.70,23.22,0.48,22.33,100.0%,96.2%,98.0%,94.2%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 39,508 ", 23 ," 39,531 ",24.00,24.00,0.00,20.86,99.9%,86.9%,100.0%,86.9%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 39,008 ", 45 ," 39,053 ",24.00,24.00,0.00,20.61,99.9%,85.9%,100.0%,85.8%,85%,0
35호기 - ARBURG 100T (자동),#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 15,450 ", - ," 15,450 ",23.32,23.04,0.28,21.89,100.0%,95.0%,98.8%,93.8%,90%,0
39호기 - ZHAFIR 120T,Theta3 AIM Nipple PCSV," 9,700 ", - ," 9,700 ",24.74,24.59,0.14,23.17,100.0%,94.2%,99.4%,93.7%,90%,0
40호기 - ARBURG 200T (자동),KEV3 COVER 5.0 LN QC (9144060573)," 7,710 ", - ," 7,710 ",16.92,16.22,0.70,15.80,100.0%,97.4%,95.9%,93.4%,87%,0
41호기 - 우진 220T (자동),KEV2 COVER 10.5 GL3 (9144060669)," 11,480 ", - ," 11,480 ",23.02,23.02,0.00,21.37,100.0%,92.8%,100.0%,92.8%,87%,0
42호기 - 우진 220T (자동),KEV3 COVER QC_P (9144060696)," 9,920 ", - ," 9,920 ",24.00,24.00,0.00,22.05,100.0%,91.9%,100.0%,91.9%,87%,0
43호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
44호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
45호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,SRR 30 HOUSING ASSY (SLAVE)," 1,307 ", 8 ," 1,315 ",4.79,4.31,0.48,4.31,99.4%,100.0%,90.0%,89.4%,84%,0
47호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75%,0
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,556 ", 2 ," 2,558 ",16.97,14.92,2.05,14.92,99.9%,100.0%,87.9%,87.9%,87%,"*주간 형 교환 실린더 및 인서트 공정 알람
→ 케이블 접촉 불량 확인. 케이블 교체
*주간 공급부 280P/P 클램프, 스토퍼, 실린더 동작 이상
→ 전 구간 센서 위치 미세조정
*야간 S/P 누락
→ 프레스 피딩 위치 틀어짐 확인. 피딩 위치, 그리퍼 위치 조정
*야간 로터리 서보 알람
→ 사출기 전원 재인가, 테이블 원점 임시조치 후 가동. 모니터링"
