설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,350 ", 14 ," 1,364 ",8.7,7.2,1.5,7.2,99.0%,100.0%,82.9%,82.0%,87.0%,*1/23 색상변경 Set-up
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,VIS SOLENOID BODY (NU)," 1,458 ", 4 ," 1,462 ",5.8,5.8,0.0,5.6,99.7%,96.6%,100.0%,96.3%,83.0%,
10호기 - 원일 100T,LINK OVER MOLD," 8,200 ", - ," 8,200 ",24.0,23.9,0.1,20.5,100.0%,86.0%,99.4%,85.4%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,600 ", - ," 2,600 ",7.5,7.3,0.2,7.1,100.0%,97.1%,97.8%,94.9%,86.0%,"*1/23 주간 쿠션량 이상건 관련 설비 점검
→ 쿠션량 간헐적 튐 현상으로 인한 제품 가스 및 미성형
→ 실린더 스크류 입고 (1/23), 설비보전팀 교체
→ 조건변경 T/O. : 계량 24→23 / 석백 6→10 / 쿠션 4.4→4.6
→ 공정검사항목 양호. 외관 및 특이사항 모니터링"
12호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,83.0%,
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 9,660 ", 8 ," 9,668 ",20.3,19.6,0.7,15.6,99.9%,79.3%,96.5%,76.5%,84.0%,"*1/23 주간 시업중 하트 작동 이상
*1/23 주간 가동중 바닥부 미성형 확인
→ 점검중 쿠션량 상한 이상 확인. 점검"
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 11,700 ", 28 ," 11,728 ",19.5,19.2,0.4,18.9,99.8%,98.6%,98.2%,96.6%,84.0%,
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 5,760 ", - ," 5,760 ",12.0,11.8,0.2,9.6,100.0%,81.6%,98.0%,80.0%,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 5,700 ", 1 ," 5,701 ",16.7,16.4,0.2,14.3,100.0%,86.8%,98.6%,85.5%,86.0%,
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 21,800 ", - ," 21,800 ",24.0,20.8,3.2,17.0,100.0%,81.3%,86.8%,70.6%,87.0%,"*1/23 주간 공타 작업 중 상측 수지 고착
→ 알람 조치 후 가동 지연. 상측 금형 하차후 점검
*1/23 주간 플레이트 공급 유닛 에어호스 파손
→ 에어호스 교체
*1/23 주간 플레이트 P.P로드측, 언로드측 미스로딩 다수 발생
*1/23 주간 플레이트 척 잡기 이상"
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 11,200 ", - ," 11,200 ",9.0,8.8,0.2,8.7,100.0%,98.7%,98.1%,96.8%,85.0%,
21호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
22호기 - ARBURG 200T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
23호기 - ARBURG 200T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
24호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
25호기 - 우진 220T,MEB5 ESC COVER," 9,964 ", 11 ," 9,975 ",21.1,20.5,0.6,20.2,99.9%,98.9%,97.1%,95.9%,90.0%,"*1/23 주간 Cav.1 리브 외측 Burr
→ 금형보전팀 금형 점검"
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 25,000 ", - ," 25,000 ",24.0,23.5,0.5,19.4,100.0%,82.6%,98.1%,81.0%,85.0%,"*1/23 주간 Cav.3, 5 찍힘
→ 게이트부 이물 확인. 이물 청소"
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 5,182 ", - ," 5,182 ",10.3,9.9,0.4,9.5,100.0%,96.0%,95.7%,92.0%,85.0%,
28호기 - 우진 150T,iMEB2 BOBBIN HSV," 8,200 ", - ," 8,200 ",7.9,7.6,0.2,6.8,100.0%,89.6%,97.0%,86.9%,87.0%,
29호기 - 우진 150T,SP2 PE 수밀 커버," 2,448 ", - ," 2,448 ",19.3,19.0,0.3,18.4,100.0%,96.6%,98.5%,95.1%,90.0%,
30호기 - 우진 150T,iMEB2 BOBBIN IV," 26,300 ", - ," 26,300 ",22.3,22.0,0.3,21.9,100.0%,99.5%,98.6%,98.1%,87.0%,
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 48,508 ", - ," 48,508 ",32.2,26.0,6.1,25.6,100.0%,98.4%,80.9%,79.6%,87.0%,"*1/23 주간 Cav.15, 16 핀 누락
→ 로보트 인서트 위치 재조정
*1/23 야간 이송부 핀 누락
→ 지그 칩 이물 누적. 지그 청소
*1/24 주간 핀 누락, 핀 휨, 핀 공급지연 다수 발생
→ 전 구간 매칭성 불합리 확인. 공급기 전구간 위치 재셋팅
→ 가동간 모니터링"
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 39,492 ", - ," 39,492 ",34.2,26.7,7.4,20.8,100.0%,77.9%,78.3%,61.0%,87.0%,"*1/23 야간 로보트 작동 불량
→ 로보트 팬던트 버튼 접촉 불량으로 인한 현상. 생산팀 조치
*1/24 주간 핀 누락 [1]
→ 공급부 로보트 그리퍼 1개소 습동 이상
→ 그리퍼 푸셔전진가이드 나사선 마모 확인. 설비보전팀 점검
*1/24 핀 누락 [2]
→ 주간 설비 점검 후 재발생. 생산팀 공급기 재점검
→ 푸셔 전진 가이드부 라이더 추가하여 높이 증대
→ 점검 후 위치 재셋팅 중 배열판 로보트 전, 후 위치 이탈 확인
→ 로보트 위치 재셋팅, 금형 수평 재셋팅"
35호기 - ARBURG 100T (자동),TAS GEN2.0 PIN BLOCK MOLD," 27,000 ", - ," 27,000 ",12.0,11.7,0.3,9.0,100.0%,77.1%,97.3%,75.0%,90.0%,
36호기 - ZHAFIR 120T,600C 1차 SPOOL (KOPLA)," 9,900 ", - ," 9,900 ",10.1,9.7,0.4,9.6,100.0%,99.1%,96.3%,95.4%,87.0%,
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 42,500 ", 26 ," 42,526 ",24.0,24.0,0.0,22.4,99.9%,93.5%,100.0%,93.5%,85.0%,"*1/24 야간 Cav.15 와인딩부 파팅 Burr
→ 하측 코어 눌림 확인. 설비 정지. 점검 요청"
38호기 - ARBURG 100T (자동),ETC BRUSH HOLDER," 3,612 ", - ," 3,612 ",8.0,6.9,1.1,6.2,100.0%,90.5%,85.9%,77.8%,90.0%,
39호기 - ZHAFIR 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
40호기 - ARBURG 200T (자동),KEV3 COVER QC_P (9144060696)," 4,200 ", - ," 4,200 ",11.5,10.4,1.1,9.3,100.0%,90.0%,90.2%,81.1%,87.0%,"*1/23 야간 제품 척 센서 노후화로 인한 단선
→ 센서 교체"
41호기 - 우진 220T (자동),#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
42호기 - 우진 220T (자동),KEV3 COVER QC_P (9144060696)," 3,776 ", - ," 3,776 ",10.0,10.0,0.0,8.4,100.0%,83.9%,100.0%,83.9%,87.0%,
43호기 - ARBURG 200T,ADAPTOR AIRTUBE, 327 , 9 , 336 ,8.4,8.2,0.2,6.5,97.3%,79.9%,97.4%,75.7%,87.0%,
44호기 - 우진 220T,IDB COVER ASS'Y," 1,669 ", - ," 1,669 ",8.2,7.9,0.3,7.8,100.0%,98.6%,96.9%,95.6%,87.0%,
45호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
46호기 - MEW 250T,SRR 30 HOUSING ASSY (MASTER), 944 , 8 , 952 ,6.2,5.0,1.2,3.1,99.2%,62.1%,81.0%,49.9%,84.0%,
47호기 - ARBURG 200T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,75.0%,
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 5,457 ", 12 ," 5,469 ",35.1,34.2,0.9,31.9,99.8%,93.2%,97.5%,90.7%,87.0%,"*1/23 주, 야간 테이블 형판 회전 이상 2회 발생
*1/23 주간 가동중 Cav.8 슬라이드 작동 이상
→ 금형 간이 청소
*1/23 야간 Cav.8 부쉬 누락
→ 다관절로보트 위치 재조정
*1/24 야간 핀 코어 인서트 알람 (16회)"
49호기 - ARBURG 300T,iMEB2.1 ECU HOUSING (필터융착)," 4,929 ", 28 ," 4,957 ",41.3,39.3,2.1,33.0,99.4%,84.2%,94.9%,79.5%,84.0%,"*1/23 주간 금형 내 런너 끼임 발생 (3회)
*1/23 주간 핀 코어 분리부 작동 이상
*1/24 주간 핀 코어 분리부 이송클램프 작동 이상
*1/24 주간 부쉬 지그 정렬 이상
→ 서보값 미세 조정 
*1/24 야간 버스바코어 이송부 감지센서 단선
→ 단선부 센서 교체"
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 6,510 ", - ," 6,510 ",44.6,42.9,1.6,37.1,100.0%,86.3%,96.3%,83.2%,87.0%,"*1/23 주, 야간 핀 코어 푸셔 하강 센서 알람 다수 발생 (11회)
→ 다관절로보트 인서트 위치 조정
*1/23 야간 런너 배출 실패 알람
→ 런너 낙하 위치 재조정
*1/23 야간 Cav.3 커넥터 체결부 Burr
→ 런너 낙아 불량으로 인한 눌림 확인. 런너 제거 후 가동. 모니터링"
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 5,555 ", 5 ," 5,560 ",38.8,33.6,5.2,32.4,99.9%,96.5%,86.5%,83.4%,87.0%,"*1/24 주간 Cav.5, 7 가스 [1]
→ 상측 금형 하차 후 점검
*1/24 주간 Cav.5, 7 가스 [2]
→ 금형 상차 후 가동중 재발생. 생산팀 금형 램핑 후 간이 청소"
52호기 - ARBURG 160T,IDB HOUSING MOLD," 4,071 ", 2 ," 4,073 ",41.3,40.6,0.7,38.5,100.0%,94.7%,98.3%,93.0%,85.0%,"*1/23 주간 다관절로보트 자재 수취 이상 알람
→ 로보트 취출 위치 미세 조정"
53호기 - 재피어 450T,iMEB3 ECU HOUSING_STD(기본형) (필터융착)," 1,319 ", 17 ," 1,336 ",18.0,11.8,6.2,11.5,98.7%,97.4%,65.6%,63.0%,85.0%,"*1/23 주간 시업중 부쉬 긁힘 형상 심화
→ 설비 정지. 금형보전팀 슬라이드코어 점검
→ 부쉬 안착부 용접으로 인한 면 파임 현상 및 단차 현상 확인
→ 슬라이드코어 해당부 사상 랩핑 진행
*1/23 야간 가동중 레이저마킹 타임 오버 알람
→ 레이저마킹 프로그램 오류 확인. 생산기술팀 유선 통화후 임시조치
→ 가동중 마킹 중복 알람. 857→1,000 임시 변경 후 가동
*1/23 야간 카세트코어 분리 현상 (2회) (Cav.14, 17)
*1/23 야간 가동간 부쉬부 오버플로우 7ea 발생
→ 주간 금형 조치부에서 발생 확인
*1/23 야간 다관절로보트 부쉬 배옆판 자재 취출 이상"
,,,,,,,,,,,,,,
,,,,,,,,,,,,83.9%,,
