설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,529 ", 1 ," 1,530 ",8.85,8.08,0.78,8.08,99.9%,100.0%,91.2%,91.2%,87%,0
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,626 ", - ," 1,626 ",8.93,8.61,0.32,8.58,100.0%,99.7%,96.4%,96.1%,87%,"*야간 Cav.9 11 커넥터부 Gas
→ 4/20 동일 Cav. Gas 발생 이력. 금형 간이 청소"
08호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,460 ", - ," 1,460 ",8.31,8.31,0.00,6.29,100.0%,75.6%,100.0%,75.6%,83%,"*야간 시업 중 계량, 사출 간 소음
→ 스크류 상부 회전축 및 타이바 윤활 작업, 요크부 점검"
10호기 - 원일 100T,ROTOR OS SLEEVE," 7,680 ", - ," 7,680 ",13.33,13.33,0.00,12.80,100.0%,96.0%,100.0%,96.0%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 3,960 ", 2 ," 3,962 ",8.34,8.13,0.21,6.38,99.9%,78.5%,97.5%,76.5%,84%,0
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 6,000 ", - ," 6,000 ",12.01,12.01,0.00,9.67,100.0%,80.5%,100.0%,80.5%,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 5,640 ", - ," 5,640 ",10.50,10.15,0.35,9.40,100.0%,92.6%,96.7%,89.5%,84%,0
