설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,542 ", - ," 1,542 ",9.106,8.138,0.968,8.138,100.0%,100.0%,89.4%,89.4%,87%,*야간 Coil ass'y 확보 후 가동
08호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,800 ", - ," 1,800 ",8.312,8.312,0,7.75,100.0%,93.2%,100.0%,93.2%,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 3,560 ", 3 ," 3,563 ",8.329,8.329,0,5.938,99.9%,71.3%,100.0%,71.2%,85%,"*야간 가동 중 미성형 다수 발생
→ 하트 온도, 계량 조건 상향 조정. 모니터링"
11호기 - 원일 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 3,248 ", - ," 3,248 ",10.342,10.01,0.332,8.3,100.0%,82.9%,96.8%,80.3%,83%,0
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 9,180 ", 1 ," 9,181 ",16.674,16.674,0,14.792,100.0%,88.7%,100.0%,88.7%,84%,0
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 12,420 ", 2 ," 12,422 ",24.022,23.779,0.243,20.013,100.0%,84.2%,99.0%,83.3%,84%,0
15호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,180 ", - ," 8,180 ",24,24,0,20.45,100.0%,85.2%,100.0%,85.2%,86%,0
