설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,83.0%,
10호기 - 원일 100T,LINK OVER MOLD," 8,160 ", - ," 8,160 ",24.0,24.0,0.0,20.4,100.0%,85.0%,100.0%,85.0%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 5,700 ", - ," 5,700 ",16.2,16.0,0.2,15.5,100.0%,96.9%,99.0%,95.9%,86.0%,
12호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,83.0%,
13호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,84.0%,
14호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,84.0%,
15호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 5,680 ", - ," 5,680 ",16.7,16.4,0.2,14.2,100.0%,86.4%,98.6%,85.2%,86.0%,
19호기 - JSW 100T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 24,800 ", - ," 24,800 ",24.0,23.8,0.2,19.3,100.0%,81.0%,99.2%,80.4%,85.0%,*2/20 주간 서보팩 냉각팬 교체 - 설비보전팀
21호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
22호기 - ARBURG 200T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
