설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,442 ", - ," 1,442 ",8.971,7.614,1.357,7.611,100.0%,100.0%,84.9%,84.8%,87%,*주간 금형 호스 파손으로 인한 누수. 호스 교체
06호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 3,100 ", - ," 3,100 ",16.564,15.738,0.826,13.347,100.0%,84.8%,95.0%,80.6%,83%,"*주간 퍼지 중 계량 시 스크류 회전 불가, 석백 사출시 노즐부 소음
→ 설비보전팀 점검"
10호기 - 원일 100T,ROTOR OS SLEEVE," 2,400 ", 4 ," 2,404 ",5.6,5.433,0.167,4.007,99.8%,73.8%,97.0%,71.4%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 2,600 ", - ," 2,600 ",10.342,8.062,2.28,6.644,100.0%,82.4%,78.0%,64.2%,83%,"*야간 상측 #1 게이트 공타 중 수지 흐름으로 인한 고착
→ 고착 수지 제거 후 가동"
13호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 10,380 ", - ," 10,380 ",20.349,19.98,0.369,16.723,100.0%,83.7%,98.2%,82.2%,84%,0
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 10,260 ", - ," 10,260 ",20.754,20.754,0,17.1,100.0%,82.4%,100.0%,82.4%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,180 ", - ," 8,180 ",24,24,0,20.45,100.0%,85.2%,100.0%,85.2%,86%,0
19호기 - JSW 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 23,608 ", - ," 23,608 ",24.004,24.004,0,18.362,100.0%,76.5%,100.0%,76.5%,85%,0
21호기 - 원일 120T,600H M/CORE COVER L.V," 27,840 ", 48 ," 27,888 ",16,13.439,2.561,10.613,99.8%,79.0%,84.0%,66.2%,87%,"*야간 비전 검사 투입 지그 제품 안착 불량. 안착 위치 재조정
*야간 비전 검사 배출 이송 지그 그리퍼 파손. 그리퍼 교체
*야간 Cav.42 금형 눌림으로 인한 제품 Burr. 
→ 금형 점검 요청 및 1Mold 가동
*야간 Cav.57, 69 Burr. 슬라이드코어 청소, 하트온도 조정 후 가동"
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 4,165 ", - ," 4,165 ",8.416,7.699,0.717,6.363,100.0%,82.6%,91.5%,75.6%,90%,"*야간 금형거리로 인한 에젝터 전진 알람
→ 에젝터 및 형개거리 조정"
23호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
24호기 - 우진 220T,700G 1차 SPOOL (KOPLA)," 22,851 ", - ," 22,851 ",20.202,19.81,0.392,19.406,100.0%,98.0%,98.1%,96.1%,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,720 ", 18 ," 9,738 ",20.67,20.531,0.139,19.746,99.8%,96.2%,99.3%,95.4%,90%,0
26호기 - 우진 220T,500C 외부 CASE (KOPLA), 388 , - , 388 ,3,3,0,2.802,100.0%,93.4%,100.0%,93.4%,85%,0
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 5,100 ", - ," 5,100 ",10.332,9.94,0.392,9.35,100.0%,94.1%,96.2%,90.5%,85%,"*야간 리크테스트기 Cav.12 부쉬 검사부 NG 판정
→ 프로브 핀 텐션 저하로 인한 인식 불가. 프로브 핀 교체"
28호기 - 우진 150T,iMEB2 BOBBIN OV," 9,800 ", - ," 9,800 ",8.468,8.203,0.265,8.167,100.0%,99.6%,96.9%,96.4%,87%,0
29호기 - 우진 150T,PLUG TOP 2차 SPOOL," 5,960 ", - ," 5,960 ",17.517,13.08,4.437,13.078,100.0%,100.0%,74.7%,74.7%,90%,"*주간 Cav.1 미성형
→ 벨브핀 작동 이상. 하트 #7 승온 불가. 설비 정지
→ 상측 금형 하차 후 수리 요청"
30호기 - 우진 150T,iMEB2 BOBBIN IV," 29,500 ", - ," 29,500 ",25.5,25.179,0.321,24.583,100.0%,97.6%,98.7%,96.4%,87%,0
