설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,610 ", 3 ," 1,613 ",9.1,8.5,0.6,8.5,99.8%,100.0%,93.6%,93.4%,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,500 ", - ," 1,500 ",8.3,8.3,0.0,6.5,100.0%,77.7%,100.0%,77.7%,83.0%,
10호기 - 원일 100T,LINK OVERMOLD (N)," 3,920 ", - ," 3,920 ",12.0,12.0,0.0,9.8,100.0%,81.7%,100.0%,81.7%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,500 ", - ," 2,500 ",7.2,6.8,0.4,6.8,100.0%,100.0%,94.6%,94.6%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 6,700 ", - ," 6,700 ",20.7,20.3,0.3,17.1,100.0%,84.1%,98.4%,82.8%,83.0%,
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 6,120 ", 3 ," 6,123 ",12.0,12.0,0.0,9.9,100.0%,82.1%,100.0%,82.1%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 4,740 ", 8 ," 4,748 ",10.0,7.9,2.1,7.7,99.8%,97.3%,78.6%,76.3%,84.0%,"*주간 미사출 발생건 생산팀 조건 Try-out
→ 하트온도 290 ~ 320℃ 조건별 퍼징 후 중량 체크
→ 290℃ 적용시 사출 불가, 300~320℃ 간헐적 게이트 막힘
→ 300~320℃ 퍼지 중량 체크시 게이트별 중량 편차 발생
    (MIN 18.936 / MAX 21.036g)
→ 밸런스 조정 필요 판단"
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 12,420 ", - ," 12,420 ",24.0,24.0,0.0,20.7,100.0%,86.3%,100.0%,86.3%,84.0%,
16호기 - 원일 120T,LINK OVERMOLD (N)," 6,320 ", - ," 6,320 ",18.3,18.3,0.0,15.8,100.0%,86.2%,100.0%,86.2%,86.0%,
19호기 - JSW 100T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 10,400 ", - ," 10,400 ",11.0,8.7,2.3,8.1,100.0%,93.3%,78.8%,73.5%,85.0%,"*주간 퍼징 작업중 퍼지통 눌림 및 제거 불가
→ 작업자 조작 실수로 노즐 전진 버튼 작동
→ 설비정지. 작업자 설비 조작 매뉴얼 재교육, 경위서 제출"
