설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,VIS SOLENOID BODY (NU)," 3,564 ", - ," 3,564 ",20.4,20.4,0.0,13.7,100.0%,67.1%,100.0%,67.1%,83.0%,
10호기 - 원일 100T,LINK OVER MOLD," 7,660 ", - ," 7,660 ",20.3,20.0,0.3,19.2,100.0%,95.8%,98.3%,94.2%,85.0%,
11호기 - 원일 100T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 6,148 ", 7 ," 6,155 ",20.0,18.9,1.1,15.7,99.9%,83.1%,94.6%,78.5%,83.0%,"주간 Cav.5, 6 슬라이드 습동 이상
→ 생산팀 슬라이드 탈거후 임시 청소. 가동중 모니터링"
13호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,84.0%,
14호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,84.0%,
15호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,84.0%,
16호기 - 원일 120T,LINK OVER MOLD," 6,340 ", - ," 6,340 ",20.3,20.0,0.3,15.9,100.0%,79.3%,98.4%,78.0%,86.0%,
19호기 - JSW 100T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 22,000 ", - ," 22,000 ",20.0,19.7,0.3,17.1,100.0%,86.7%,98.6%,85.5%,85.0%,"주간 Cav.A, B, C, D 파팅 Burr. 금형보전팀 점검"
