설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,254 ", 2 ," 1,256 ",8.33,7.04,1.28,6.63,99.8%,94.1%,84.6%,79.5%,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,FCEV COVER ACV, 380 , - , 380 ,16.65,16.65,0.00,9.50,100.0%,57.1%,100.0%,57.1%,83%,"*주, 야간 가동 간 타공정 지원(ACV2 COVER 통전검사)으로 효율 저하"
10호기 - 원일 100T,ROTOR OS SLEEVE," 5,040 ", - ," 5,040 ",8.76,8.40,0.36,8.40,100.0%,100.0%,95.9%,95.9%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS, 964 , - , 964 ,2.80,2.80,0.00,2.46,100.0%,88.0%,100.0%,88.0%,83%,*야간 가동 중 공BOX 공급 부족. 설비 정지
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 11,160 ", - ," 11,160 ",22.35,21.76,0.59,17.98,100.0%,82.6%,97.4%,80.4%,84%,0
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 11,400 ", - ," 11,400 ",22.35,22.05,0.30,18.37,100.0%,83.3%,98.7%,82.2%,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 4,500 ", - ," 4,500 ",8.33,8.09,0.24,7.50,100.0%,92.8%,97.1%,90.1%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,240 ", - ," 8,240 ",24.00,23.63,0.37,20.60,100.0%,87.2%,98.5%,85.8%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 13,100 ", - ," 13,100 ",12.00,11.72,0.28,10.19,100.0%,86.9%,97.7%,84.9%,87%,0
20호기 - MEW 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,600H M/CORE COVER CENTER," 36,429 ", - ," 36,429 ",16.10,15.26,0.84,15.18,100.0%,99.4%,94.8%,94.3%,87%,"*야간 공급부 원자재 공급 분리부 상, 하 동작 이상. 설비 점검"
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 5,160 ", - ," 5,160 ",8.42,8.09,0.32,7.88,100.0%,97.4%,96.2%,93.7%,90%,0
23호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,000 ", 19 ," 9,019 ",20.67,20.34,0.33,18.29,99.8%,89.9%,98.4%,88.3%,90%,"*계량시간 튐 현상 관련 품질 확인
→ 계량 시간 14초(기존), 27초, 34초 발생 제품 공정검사항목 확인
→ 전장, 전폭, 평면도, 중량 등 치수 양호"
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 27,600 ", - ," 27,600 ",24.00,23.70,0.30,21.47,100.0%,90.6%,98.7%,89.4%,85%,0
27호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN HSV," 19,300 ", - ," 19,300 ",16.74,16.24,0.49,16.08,100.0%,99.0%,97.0%,96.1%,87%,0
29호기 - 우진 150T,SP2 PE 수밀 커버," 1,080 ", - ," 1,080 ",8.45,8.24,0.21,8.10,100.0%,98.3%,97.5%,95.8%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 30,000 ", - ," 30,000 ",26.00,25.49,0.51,25.00,100.0%,98.1%,98.0%,96.2%,87%,"*야간 에젝터 후진 미완료 알람
→ 에젝터 리미티드 스위치 노후. 리미티드 스위치 교체"
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 38,900 ", 39 ," 38,939 ",24.00,23.89,0.11,20.55,99.9%,86.0%,99.5%,85.6%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 38,000 ", 47 ," 38,047 ",24.00,23.80,0.20,20.08,99.9%,84.4%,99.2%,83.6%,85%,0
35호기 - ARBURG 100T (자동),CAP COVER(POWER PACK)," 23,804 ", - ," 23,804 ",24.82,24.20,0.63,19.84,100.0%,82.0%,97.5%,79.9%,90%,0
36호기 - ZHAFIR 120T,600C 1차 SPOOL (KOPLA)," 10,240 ", - ," 10,240 ",11.73,11.60,0.14,9.96,100.0%,85.9%,98.8%,84.8%,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 15,500 ", - ," 15,500 ",8.51,8.25,0.26,8.18,100.0%,99.2%,97.0%,96.2%,85%,*야간 직진피더부 핀 공급 지연. 직진피더 청소
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 7,820 ", - ," 7,820 ",11.99,11.39,0.60,11.08,100.0%,97.3%,95.0%,92.4%,90%,0
39호기 - ZHAFIR 120T,Theta3 AIM Nipple PCSV," 5,000 ", - ," 5,000 ",12.31,11.98,0.33,11.94,100.0%,99.7%,97.3%,97.1%,90%,0
40호기 - ARBURG 200T (자동),#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
41호기 - 우진 220T (자동),KEV3 COVER 3.5 LN (9144060345)," 6,082 ", - ," 6,082 ",21.29,20.67,0.62,20.44,100.0%,98.9%,97.1%,96.0%,87%,0
42호기 - 우진 220T (자동),KEV3 COVER 3.5 LN QC (9144060585)," 10,680 ", - ," 10,680 ",20.92,20.64,0.28,20.05,100.0%,97.1%,98.7%,95.8%,87%,0
43호기 - ARBURG 200T,MGH80 ESC COVER ASSY (콘티넨탈)," 1,984 ", - ," 1,984 ",6.79,5.41,1.38,5.40,100.0%,99.8%,79.6%,79.5%,87%,0
44호기 - 우진 220T,IDB COVER ASS'Y," 1,301 ", - ," 1,301 ",8.15,6.13,2.02,6.11,100.0%,99.7%,75.2%,75.0%,87%,"*주간 공급부 필터 공급 지연 및 겹침 지속 발생
→ 설비보전팀 점검 (2회), 리니어피더 및 지그 위치 조정
→ 공급 지연 및 불가, 필터 겹침 등 작업자 임시 조치간 안전 문제 우려
→ 안전 장치 및 공급부 유관부서 협업 하 개선 조치 필요"
45호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,LRR30 HOUSING(AS161-A81-00)," 2,186 ", 12 ," 2,198 ",7.07,5.77,1.30,5.74,99.5%,99.4%,81.7%,80.8%,84%,0
47호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75%,0
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,702 ", 6 ," 2,708 ",16.41,16.17,0.24,15.80,99.8%,97.7%,98.6%,96.1%,87%,0
49호기 - ARBURG 300T,iMEB2.1 ECU HOUSING (필터융착)," 2,856 ", 7 ," 2,863 ",24.10,21.67,2.42,19.09,99.8%,88.1%,90.0%,79.0%,84%,"*주간 부쉬 인서트 미흡 및 누락 관련 설비 점검
→ 다관절로보트 부쉬 그리퍼 청소 및 위치 점검, 금형 부쉬 안착부 청소
*주간 버스바코어 공급부 리턴부 및 클리닝부 상, 하 동작 이상. 설비 점검
*야간 다관절로보트 척 버스바코어 안착 지그 충돌
→ 버스바코어 안착 지그 가이드핀 이탈로 인한 코어 안착 불량
→ 전 구간 위치 틀어짐 확인. 전 구간 위치 재셋팅
*야간 연속생산 중 금형보호 및 로보트 비상정지 알람
→ 상측 런너 눌림. 런너 제거, 설비 재부팅, 로보트 원점, 설비 승온 후 가동
*버스바코어 핀 안착 개선 관련 안착부 치수 수정 (5/9~5/10 금형보전팀)
→ 적용 후 생산간 식별 및 모니터링"
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,543 ", 15 ," 3,558 ",23.96,22.49,1.46,20.26,99.6%,90.1%,93.9%,84.2%,87%,"*야간 630P/P 프레스 리턴 컨베이어 벨트 파손. 설비 정지
→ 생산팀 컨베이어 벨트 교체 후 설비 점검"
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,786 ", 5 ," 2,791 ",19.42,18.76,0.67,16.28,99.8%,86.8%,96.6%,83.7%,87%,0
52호기 - ARBURG 160T,IDB HOUSING MOLD," 2,200 ", 2 ," 2,202 ",21.67,20.99,0.68,20.80,99.9%,99.1%,96.9%,95.9%,85%,0
53호기 - 재피어 450T,iMEB3 ECU HOUSING_STD(기본형) (필터융착)," 1,069 ", - ," 1,069 ",13.69,11.23,2.46,9.21,100.0%,82.0%,82.0%,67.2%,85%,"*주간 버스바모터핀#2 공급부 센서 인식 불가
→ 공급부 자재 없음에도 센서 인식되어 공급 불량. 센서 배선 및 위치 점검
*주간 형개 중 금형 내 Cav.1 버스바코어 미세 들뜸 (1회)
→ 설비 정지. 수동 조치 후 다관절로보트 원점, 가동
*야간 코어 전진 실린더 도착 이상
→ 센서 접촉 불량 확인. 센서 교체
*야간 형개 중 금형 내 Cav.1 버스바코어 미세 들뜸 (3회)
→ 코어 Cav.4, 8 적용시 들뜸. 해당 코어 라인 제외
→ 설비 정지. 수동 조치 후 다관절로보트 원점, 가동"
56호기 - MEW 250T,IDB GEN2 H/G_BASE (필터융착), 536 , 5 , 541 ,7.12,5.72,1.40,5.71,99.1%,99.9%,80.3%,79.5%,85%,"*주간 Cav.1, 2 부쉬부 전 구간 긁힘
→ 금형보전팀 사상 및 랩핑 2회 진행
→ 금형 부쉬 삽입부 치수 10.98~11.00, 부쉬 자재 10.99~11.04 확인
→ 자재치수 상한 제품 투입시 삽입부 간섭 추정
→ 자재 치수 공정능력평가 및 치수 안정화 필요 (치수 기준 확립)
→ 슬라이드 부시 안착부 구배 적용 여부 확인 요청 (금형개발팀)
    (3D 형상 기준 개선 예정 전달받았으나, 현재 적용 안되어있음)"
,,,,,,,,,,,,,,
,,,,,,,,,,,금일 효율,86.6%,,
,,,,,,,,,,,당월 효율,85.8%,,
