설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 2,754 ", - ," 2,754 ",16.652,15.263,1.389,14.535,100.0%,95.2%,91.7%,87.3%,87%,"*주간 가동간 설비 소음 및 사출 동작간 압력 이상
→ 설비보전팀 설비 점검"
06호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,600 ", - ," 1,600 ",8.313,7.844,0.469,6.889,100.0%,87.8%,94.4%,82.9%,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 9,240 ", - ," 9,240 ",16.658,16.658,0,15.4,100.0%,92.4%,100.0%,92.4%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,ROTOR IS GR (AOS Gen2.0) (A00.008-02), 260 , - , 260 ,1.767,1.264,0.503,1.264,100.0%,100.0%,71.5%,71.5%,83%,*주간 R-AOS ROTOR IS 고객사 샘플 생산 Try-out
13호기 - MEW 150T,KEV3 DRIVE 20.5Ω(9144060245)," 9,872 ", - ," 9,872 ",18.657,18.657,0,15.905,100.0%,85.2%,100.0%,85.2%,84%,0
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 11,220 ", 16 ," 11,236 ",18.944,18.708,0.236,18.103,99.9%,96.8%,98.8%,95.4%,84%,0
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 9,776 ", - ," 9,776 ",18.658,18.658,0,16.293,100.0%,87.3%,100.0%,87.3%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 8,000 ", 12 ," 8,012 ",21.029,21.029,0,20.03,99.9%,95.2%,100.0%,95.1%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 12,000 ", - ," 12,000 ",12.003,11.482,0.521,9.333,100.0%,81.3%,95.7%,77.8%,87%,0
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 12,400 ", - ," 12,400 ",10.101,10.101,0,9.644,100.0%,95.5%,100.0%,95.5%,85%,"*주간 핀 압입기 2차 설비 초도 생산
→ 생산팀, 설비보전팀, 품질보증팀 참관 하 모니터링
*주간 디버링 설비 조건 변경 Try-out : END부 파손 건 개선 활동
-. Bobbin 투입 수량 변경 : 기존 1,200ea(3Box) → 변경 800ea(2Box)
→ Burr 제거 미흡 판단 (0.12mm 수준). 기존 투입수량으로 원복"
21호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
22호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 5,130 ", - ," 5,130 ",6.294,5.702,0.592,5.7,100.0%,100.0%,90.6%,90.6%,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,120 ", 4 ," 9,124 ",20.67,20.67,0,18.501,100.0%,89.5%,100.0%,89.5%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 18,900 ", - ," 18,900 ",17.184,17.184,0,14.7,100.0%,85.5%,100.0%,85.5%,85%,"*주간 금형 수정 Set-up
→ 고객사 14.45부(조립부) 간섭으로 인한 긁힘 발생
→ 타사 제품 대비 해당부 하한 확인. 치수 증대 금형 수정
→ 금형 수정부 치수 증대 확인 (14.4~14.7mm → 14.8~14.9mm)
→ 공정검사항목 및 외관 양호. 4M 식별 후 생산 진행"
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 2,341 ", - ," 2,341 ",10.332,8.963,1.369,4.292,100.0%,47.9%,86.7%,41.5%,85%,"*야간 로보트 자재 및 제품 취출 미스 다수 발생 (5회)
→ 취출 및 인서트 위치 재조정. 조치시간 증대로 효율 저하"
28호기 - 우진 150T,iMEB2 BOBBIN OV," 18,900 ", - ," 18,900 ",16.536,16.536,0,15.75,100.0%,95.2%,100.0%,95.2%,87%,0
29호기 - 우진 150T,SP2 PE 수밀 커버," 1,320 ", - ," 1,320 ",10.398,9.974,0.424,9.9,100.0%,99.3%,95.9%,95.2%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 27,900 ", - ," 27,900 ",24.399,23.289,1.11,23.25,100.0%,99.8%,95.5%,95.3%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 37,000 ", 36 ," 37,036 ",23.996,23.996,0,19.547,99.9%,81.5%,100.0%,81.4%,85%,"*주간 핀 압착부 형상 이상
→ 인칭 툴 이물 누적 확인. 인칭 이물 제거 및 점검"
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 29,200 ", 45 ," 29,245 ",23.996,21.311,2.685,15.435,99.8%,72.4%,88.8%,64.2%,85%,"*주간 공급기 원점 작동
→ P.P 상승 센서 작동 이상 확인. 센서 교체
*야간 이송부 하강 센서 작동 이상
→ 배선 중간부 단선 확인. 재포설. 단선 집중 구간으로 개선 요청 중
*야간 로보트 인서트 푸셔 알람. 인서트 위치 조정 및 푸셔 동작 점검"
35호기 - ARBURG 100T (자동),iMEB2 FORK PIN COVER," 12,500 ", - ," 12,500 ",12.707,12.707,0,12.153,100.0%,95.6%,100.0%,95.6%,90%,0
36호기 - ZHAFIR 120T,600C 1차 SPOOL (KOPLA)," 10,500 ", - ," 10,500 ",11.735,11.735,0,10.208,100.0%,87.0%,100.0%,87.0%,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 28,700 ", 19 ," 28,719 ",15.911,15.583,0.328,15.157,99.9%,97.3%,97.9%,95.2%,85%,0
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 8,274 ", - ," 8,274 ",12.294,12.294,0,11.721,100.0%,95.3%,100.0%,95.3%,90%,0
39호기 - ZHAFIR 120T,Theta3 AIM Nipple PCSV," 5,160 ", - ," 5,160 ",12.834,12.587,0.247,12.327,100.0%,97.9%,98.1%,96.0%,90%,0
40호기 - ARBURG 200T (자동),KEV3 COVER QC_P (9144060696)," 10,720 ", - ," 10,720 ",25.05,25.05,0,23.822,100.0%,95.1%,100.0%,95.1%,87%,0
41호기 - 우진 220T (자동),KEV3 COVER 3.5 LN (9144060345)," 8,470 ", - ," 8,470 ",19.321,19.321,0,18.359,100.0%,95.0%,100.0%,95.0%,87%,0
42호기 - 우진 220T (자동),KEV2 COVER 10.5 QC(9144060743)," 6,582 ", - ," 6,582 ",26.973,26.602,0.371,25.871,100.0%,97.3%,98.6%,95.9%,87%,"*야간 하측 금형 슬라이드 코어 냉각수 누수
→ 니플 체결부 누수 확인. 니플 교체 후 금형 내 수분 제거"
43호기 - ARBURG 200T,MGH80 ABS COVER ASSY (콘티넨탈)," 2,000 ", - ," 2,000 ",7.111,6.112,0.999,6.111,100.0%,100.0%,86.0%,85.9%,87%,0
44호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
45호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,SRR 30 HOUSING ASSY (MASTER)," 1,989 ", 8 ," 1,997 ",7.752,7.523,0.229,6.546,99.6%,87.0%,97.0%,84.1%,84%,0
47호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75%,0
48호기 - 원일 200T,MEB5 HOUSING ESC (S)," 3,220 ", 2 ," 3,222 ",19.59,19.423,0.167,18.795,99.9%,96.8%,99.1%,95.9%,87%,0
49호기 - ARBURG 300T,iMEB2.1 ECU HOUSING (필터융착)," 3,330 ", 2 ," 3,332 ",24.094,23.775,0.319,22.213,99.9%,93.4%,98.7%,92.1%,84%,"*주간 S/P 이송 클램프 동작 이상. 원점 후 가동
*주간 로딩 로보트 동작 이상. 원점 후 가동"
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,493 ", 2 ," 3,495 ",23.957,23.445,0.512,19.903,99.9%,84.9%,97.9%,83.0%,87%,"*주간 코어 반송 이송 유닛 척 동작 이상. 센서 점검
*주간 Cav.2 커넥터부 스크래치. 코어 랩핑"
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,902 ", 2 ," 2,904 ",19.422,18.96,0.462,16.94,99.9%,89.3%,97.6%,87.2%,87%,"*야간 S/P 프레스 컷팅기 동작 이상(3회). 프레스 간이 청소
*야간 S/P 로보트 핀 취출 이상(11회)
→ 미컷팅 및 스트랩 배출 불량. 프레스 간이 청소 후 취출 위치 조정"
52호기 - ARBURG 160T,IDB HOUSING MOLD," 2,202 ", - ," 2,202 ",21.766,21.766,0,20.797,100.0%,95.5%,100.0%,95.5%,85%,0
53호기 - 재피어 450T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,88.9%,,
