설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
06호기 - 원일 150T,GEN4 EXHAUST LH," 1,082 ", 5 ," 1,087 ",8.336,5.741,2.595,5.737,99.5%,99.9%,68.9%,68.5%,87%,*야간 Coil ass'y 확보 후 가동
08호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,VIS SOLENOID BODY (NU)," 1,944 ", - ," 1,944 ",8.312,8.312,0,7.452,100.0%,89.7%,100.0%,89.7%,83%,0
10호기 - 원일 100T,LINK OVER MOLD," 8,160 ", - ," 8,160 ",24,24,0,20.4,100.0%,85.0%,100.0%,85.0%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 6,608 ", - ," 6,608 ",20.684,20.684,0,16.887,100.0%,81.6%,100.0%,81.6%,83%,0
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 10,620 ", - ," 10,620 ",18.676,18.357,0.319,17.11,100.0%,93.2%,98.3%,91.6%,84%,0
14호기 - MEW 150T,KEV3 DRIVE_P 14.5옴 (9144060737)," 12,240 ", 28 ," 12,268 ",23.2,22.951,0.249,19.765,99.8%,86.1%,98.9%,85.0%,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 4,200 ", - ," 4,200 ",8.329,8.329,0,7,100.0%,84.0%,100.0%,84.0%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 4,240 ", - ," 4,240 ",12.329,12.329,0,10.6,100.0%,86.0%,100.0%,86.0%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 26,000 ", 7 ," 26,007 ",24.004,23.817,0.187,20.228,100.0%,84.9%,99.2%,84.2%,87%,0
20호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 4,060 ", - ," 4,060 ",6.787,6.602,0.185,6.203,100.0%,94.0%,97.3%,91.4%,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 7,740 ", - ," 7,740 ",9.031,8.603,0.428,8.6,100.0%,100.0%,95.3%,95.2%,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 11,036 ", 20 ," 11,056 ",24.008,24.008,0,22.419,99.8%,93.4%,100.0%,93.2%,90%,0
26호기 - 우진 220T,600D 외부 CASE (KOPLA)," 5,850 ", 5 ," 5,855 ",10.544,10.088,0.456,10.084,99.9%,100.0%,95.7%,95.6%,85%,0
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 1,250 ", - ," 1,250 ",3.05,2.298,0.752,2.292,100.0%,99.7%,75.3%,75.1%,85%,"*야간 로보트 가이드, 부쉬 단자 공급부 배선 충돌
→ 배선 정리, 취출 및 인서트 위치 재조정
*야간 제품 기름 유입. 하측 금형 하차 후 점검 요청"
28호기 - 우진 150T,iMEB2 BOBBIN OV," 21,200 ", - ," 21,200 ",18.237,18.124,0.113,17.667,100.0%,97.5%,99.4%,96.9%,87%,0
29호기 - 우진 150T,SP2 PE 수밀 커버," 2,376 ", - ," 2,376 ",21.594,21.594,0,17.82,100.0%,82.5%,100.0%,82.5%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 17,300 ", - ," 17,300 ",15.015,14.769,0.246,14.417,100.0%,97.6%,98.4%,96.0%,87%,"*주간 Cav.3, 5 와인딩부 파팅 Burr, 전 Cav. 바닥면 가스
→ 하측 금형 하차 후 수리"
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 39,900 ", 30 ," 39,930 ",23.996,23.996,0,21.075,99.9%,87.8%,100.0%,87.8%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 37,500 ", 43 ," 37,543 ",23.996,23.996,0,19.815,99.9%,82.6%,100.0%,82.5%,85%,"*야간 로보트 인서트 푸셔 알람, Cav.8 핀 단차
→ 핀 인서트 위치 재조정"
35호기 - ARBURG 100T (자동),TAS GEN2.0 PIN BLOCK MOLD," 16,540 ", - ," 16,540 ",12,6.61,5.39,5.513,100.0%,83.4%,55.1%,45.9%,90%,*주간 Cav.2 제품 외측 Burr. 금형보전팀 금형 점검
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 27,500 ", 16 ," 27,516 ",15.03,14.523,0.507,14.522,99.9%,100.0%,96.6%,96.6%,85%,*주간 로보트 워크푸셔 센서선 단선. 단선부 재연결
38호기 - ARBURG 100T (자동),10P CONNECTOR PROTECTOR," 2,622 ", - ," 2,622 ",9.999,8.966,1.033,7.648,100.0%,85.3%,89.7%,76.5%,90%,0
39호기 - ZHAFIR 120T,7P CONNECTOR PROTECTOR," 3,940 ", - ," 3,940 ",15.824,15.824,0,15.322,100.0%,96.8%,100.0%,96.8%,90%,0
40호기 - ARBURG 200T (자동),#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
41호기 - 우진 220T (자동),KEV3 COVER 3.5 LN QC (9144060585)," 5,770 ", - ," 5,770 ",11.988,11.756,0.232,10.899,100.0%,92.7%,98.1%,90.9%,87%,0
