설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,030 ", 4 ," 1,034 ",7.953,5.459,2.494,5.457,99.6%,100.0%,68.6%,68.4%,87%,*주간 가동 중 Coil ass'y 공급 부족. 확보 후 가동
06호기 - 원일 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
09호기 - 원일 150T,후륜8속 M3 PREMOLD ASS'Y," 1,540 ", - ," 1,540 ",8.312,8.312,0,6.631,100.0%,79.8%,100.0%,79.8%,83%,0
10호기 - 원일 100T,ROTOR OS SLEEVE," 4,200 ", - ," 4,200 ",8.329,8.329,0,7,100.0%,84.0%,100.0%,84.0%,85%,0
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 2,000 ", - ," 2,000 ",6.007,5.77,0.237,5.444,100.0%,94.4%,96.1%,90.6%,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 5,636 ", 1 ," 5,637 ",19.652,19.215,0.437,14.406,100.0%,75.0%,97.8%,73.3%,83%,0
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 11,580 ", 4 ," 11,584 ",23.021,22.843,0.178,18.663,100.0%,81.7%,99.2%,81.0%,84%,0
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 9,240 ", 16 ," 9,256 ",19.646,19.18,0.466,14.913,99.8%,77.8%,97.6%,75.8%,84%,0
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 7,440 ", - ," 7,440 ",15.629,15.381,0.248,12.4,100.0%,80.6%,98.4%,79.3%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 7,740 ", - ," 7,740 ",23,23,0,19.35,100.0%,84.1%,100.0%,84.1%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 24,208 ", - ," 24,208 ",23.002,22.46,0.542,18.828,100.0%,83.8%,97.6%,81.9%,87%,*야간 플레이트 공급부 정렬 유닛 작동 이상. 설비 점검
20호기 - MEW 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
21호기 - 원일 120T,600H M/CORE COVER L.V," 11,176 ", - ," 11,176 ",8.33,7.581,0.749,4.253,100.0%,56.1%,91.0%,51.1%,87%,"*야간 비전 NG 관련 점검
*야간 자재 배열판 안착 중 위치 이탈
→ 원자재 트랜스퍼 자재 안착 후 후퇴간 간섭
→ 트랜스퍼 위치 조정, 로보트 취출 및 인서트 위치 재조정"
22호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 COVER," 7,830 ", 24 ," 7,854 ",9.299,8.956,0.343,8.727,99.7%,97.4%,96.3%,93.6%,90%,0
24호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 7,920 ", 15 ," 7,935 ",19.638,19.527,0.111,16.091,99.8%,82.4%,99.4%,81.8%,90%,0
26호기 - 우진 220T,600D 외부 CASE (KOPLA)," 5,871 ", - ," 5,871 ",10.4,10.118,0.282,10.111,100.0%,99.9%,97.3%,97.2%,85%,0
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 10,050 ", - ," 10,050 ",21.334,20.69,0.644,18.425,100.0%,89.1%,97.0%,86.4%,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 22,908 ", - ," 22,908 ",20.633,20.633,0,19.09,100.0%,92.5%,100.0%,92.5%,87%,0
29호기 - 우진 150T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 9,200 ", - ," 9,200 ",8.33,8.33,0,7.667,100.0%,92.0%,100.0%,92.0%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 35,800 ", 33 ," 35,833 ",22.996,22.996,0,18.912,99.9%,82.2%,100.0%,82.2%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 35,800 ", 29 ," 35,829 ",22.996,22.996,0,18.91,99.9%,82.2%,100.0%,82.2%,85%,0
35호기 - ARBURG 100T (자동),TAS GEN2.0 PIN BLOCK MOLD," 31,808 ", - ," 31,808 ",12,12,0,10.603,100.0%,88.4%,100.0%,88.4%,90%,0
36호기 - ZHAFIR 120T,600C 1차 SPOOL (KOPLA)," 8,200 ", - ," 8,200 ",10.757,10.412,0.345,7.972,100.0%,76.6%,96.8%,74.1%,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 23,900 ", 33 ," 23,933 ",13.895,13.895,0,12.631,99.9%,90.9%,100.0%,90.8%,85%,0
38호기 - ARBURG 100T (자동),KEV2 10.5 GL3 LID (9144060668)," 8,154 ", - ," 8,154 ",11.994,11.994,0,11.551,100.0%,96.3%,100.0%,96.3%,90%,0
39호기 - ZHAFIR 120T,Theta3 AIM Nipple PCSV," 9,820 ", - ," 9,820 ",24.211,24.211,0,23.459,100.0%,96.9%,100.0%,96.9%,90%,0
40호기 - ARBURG 200T (자동),KEV3 COVER QC_P (9144060696)," 9,664 ", - ," 9,664 ",23,22.237,0.763,21.476,100.0%,96.6%,96.7%,93.4%,87%,0
41호기 - 우진 220T (자동),KEV2 COVER 10.5 GL3 (9144060669)," 12,114 ", - ," 12,114 ",23.02,23.02,0,22.546,100.0%,97.9%,100.0%,97.9%,87%,0
42호기 - 우진 220T (자동),KEV3 COVER QC_P (9144060696)," 8,810 ", - ," 8,810 ",23,23,0,19.578,100.0%,85.1%,100.0%,85.1%,87%,"*주간 취출로보트 척 미스 알람
→ 제품 척 센서 연결 커넥터부 단선. 커넥터 교체"
43호기 - ARBURG 200T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
44호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
45호기 - 우진 220T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,LRR30 HOUSING(AS161-A81-00), 985 , 8 , 993 ,4.452,4.172,0.28,2.593,99.2%,62.2%,93.7%,57.8%,84%,*주간 통전 및 인서트 알람. 로보트 위치 재셋팅
47호기 - ARBURG 200T,MGH80 ABS HOUSING, 944 , - , 944 ,8.013,7.179,0.834,5.376,100.0%,74.9%,89.6%,67.1%,75%,"*야간 S/P 누락
→ 볼프렌져 마모. 볼프렌져 교체 후 자재 취출 위치 재조정
*야간 컨베이어 작동 이상 (18회)"
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,780 ", 3 ," 2,783 ",16.693,16.693,0,16.234,99.9%,97.3%,100.0%,97.1%,87%,0
49호기 - ARBURG 300T,iMEB2.1 ECU HOUSING (필터융착)," 2,956 ", 10 ," 2,966 ",22.886,22.324,0.562,19.773,99.7%,88.6%,97.5%,86.1%,84%,"*주간 시업중 S/P 프레스 타발 후 그리퍼 놓침 현상
→ 그리퍼 수평 재셋팅 후 취출 위치 조정, 잡기 동착 점검
*주간 버스바코어 공급 중 넘어짐 현상
→ 코어 공급 후 안착 중 벨트 상시 회전되어 기구물 간섭 발생
→ 코어 감지 센서 불량 확인. 릴레이 교체"
50호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 3,259 ", 3 ," 3,262 ",22.958,22.149,0.809,18.575,99.9%,83.9%,96.5%,80.8%,87%,"*주간 사출기 금형 센서 이상 알람 (2회)
*주간 사출기 테이플 형판 회전 이상. 원점 후 재가동
*주간 코어 이송 가이드 후진 이상. 센서 점검
*야간 가동 중 수지 공급 호스 천공으로 인한 수지 낙하
→ 임시 테이핑 조치 후 점검 요청"
51호기 - ARBURG 200T,MEB5 HOUSING ESC (S)," 2,668 ", 2 ," 2,670 ",18.454,18.304,0.15,15.575,99.9%,85.1%,99.2%,84.3%,87%,0
52호기 - ARBURG 160T,IDB HOUSING MOLD," 1,921 ", 1 ," 1,922 ",19.633,19.633,0,18.152,99.9%,92.5%,100.0%,92.4%,85%,0
53호기 - 재피어 450T,#N/A, - , - , - ,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,85.1%,,
