설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
06호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
08호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,"*주간 7호기 와인딩기 클램프 오프 알람
→ 에어호스 노후로 인한 누설. 에어호스 교체"
09호기 - 원일 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83%,0
10호기 - 원일 100T,LINK OVER MOLD," 6,520 ", - ," 6,520 ",16.00,15.64,0.36,14.30,100.0%,91.4%,97.8%,89.4%,85%,0
11호기 - 원일 100T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86%,0
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 2,660 ", - ," 2,660 ",10.34,10.34,0.00,6.80,100.0%,65.7%,100.0%,65.7%,83%,"*주간 수지 변경 Try-out
→ 게이트 #1 수지 흐름 관련 금형보전팀 벨브 핀 점검 후 가동
→ 100ea 샘플 생산 후 후공정 평탄도 검사 완료. 출하 대기"
13호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 10,740 ", - ," 10,740 ",20.68,20.34,0.34,17.30,100.0%,85.1%,98.4%,83.7%,84%,0
14호기 - MEW 150T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84%,0
15호기 - MEW 150T,KEV1 DRIVE 20.5Ω(9144060009)," 12,300 ", - ," 12,300 ",24.00,23.74,0.26,20.50,100.0%,86.4%,98.9%,85.4%,84%,0
16호기 - 원일 120T,LINK OVER MOLD," 6,920 ", - ," 6,920 ",20.33,20.33,0.00,17.30,100.0%,85.1%,100.0%,85.1%,86%,0
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 23,800 ", - ," 23,800 ",22.33,19.89,2.45,18.51,100.0%,93.1%,89.0%,82.9%,87%,"*주간 플레이트 인덱스 공급 유닛 하강측 감지 센서 점등 이상
→ 생산팀 센서 점검 후 동증상 재발생. 설비보전팀 배선 점검"
20호기 - MEW 150T,KEV BOBBIN ASSY_PPS(9144060689)," 12,000 ", - ," 12,000 ",9.70,9.53,0.18,9.33,100.0%,98.0%,98.2%,96.2%,85%,0
21호기 - 원일 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 4,080 ", - ," 4,080 ",6.79,6.44,0.34,6.23,100.0%,96.7%,94.9%,91.9%,90%,0
23호기 - ARBURG 200T,TAS GEN2.0 COVER," 7,290 ", - ," 7,290 ",10.33,9.88,0.45,8.10,100.0%,82.0%,95.6%,78.4%,90%,0
24호기 - 우진 220T,POWER PACK COVER (검사 전), 762 , - , 762 ,8.33,7.80,0.54,7.20,100.0%,92.3%,93.6%,86.4%,90%,0
25호기 - 우진 220T,MEB5 ESC COVER," 9,604 ", 15 ," 9,619 ",22.34,22.19,0.15,19.51,99.8%,87.9%,99.3%,87.2%,90%,0
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 28,000 ", - ," 28,000 ",24.00,24.00,0.00,21.78,100.0%,90.7%,100.0%,90.7%,85%,0
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 4,300 ", - ," 4,300 ",8.33,8.05,0.28,7.88,100.0%,98.0%,96.6%,94.6%,85%,0
28호기 - 우진 150T,iMEB2 BOBBIN OV," 24,400 ", - ," 24,400 ",21.00,21.00,0.00,20.33,100.0%,96.8%,100.0%,96.8%,87%,0
29호기 - 우진 150T,RADOME," 4,020 ", - ," 4,020 ",14.33,14.22,0.11,12.94,100.0%,91.0%,99.2%,90.3%,90%,0
30호기 - 우진 150T,iMEB2 BOBBIN IV," 13,300 ", - ," 13,300 ",12.00,12.00,0.00,11.08,100.0%,92.4%,100.0%,92.4%,87%,0
32호기 - ARBURG 100T,MEB5 BOBBIN OV," 38,608 ", 32 ," 38,640 ",24.00,23.73,0.27,20.39,99.9%,85.9%,98.9%,84.9%,85%,0
33호기 - ARBURG 100T,MEB5 BOBBIN IV," 34,516 ", 48 ," 34,564 ",24.00,23.79,0.21,18.24,99.9%,76.7%,99.1%,75.9%,85%,*주간 Cav.8 핀 누락. 로보트 핀 인서트 위치 조정
35호기 - ARBURG 100T (자동),iMEB2 FORK PIN COVER," 26,900 ", - ," 26,900 ",27.21,27.21,0.00,26.15,100.0%,96.1%,100.0%,96.1%,90%,0
36호기 - ZHAFIR 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
37호기 - ARBURG 100T (자동),MEB5 BOBBIN IV," 14,000 ", 9 ," 14,009 ",7.71,7.45,0.26,7.39,99.9%,99.3%,96.7%,95.9%,85%,0
38호기 - ARBURG 100T (자동),ETC BRUSH HOLDER," 11,988 ", - ," 11,988 ",21.38,21.38,0.00,20.65,100.0%,96.6%,100.0%,96.6%,90%,0
39호기 - ZHAFIR 120T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90%,0
40호기 - ARBURG 200T (자동),KEV3 COVER 5.0 LN QC (9144060573)," 8,290 ", - ," 8,290 ",18.45,17.23,1.22,17.22,100.0%,100.0%,93.4%,93.4%,87%,*주간 하측 금형 게이트코어 수지 고착. 금형 수리
41호기 - 우진 220T (자동),KEV3 COVER 7.0 LN QC (9144060378)," 12,060 ", - ," 12,060 ",24.70,24.55,0.15,23.85,100.0%,97.2%,99.4%,96.6%,87%,0
42호기 - 우진 220T (자동),#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87%,0
43호기 - ARBURG 200T,ADAPTOR AIRTUBE, 356 , 6 , 362 ,8.40,8.40,0.00,7.04,98.3%,83.8%,100.0%,82.5%,87%,0
44호기 - 우진 220T,IDB COVER ASS'Y," 1,488 ", - ," 1,488 ",8.00,7.75,0.24,6.99,100.0%,90.1%,97.0%,87.3%,87%,0
45호기 - 우진 220T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85%,0
46호기 - MEW 250T,LRR30 HOUSING(AS161-A81-00)," 2,295 ", 12 ," 2,307 ",6.68,6.11,0.57,6.02,99.5%,98.6%,91.4%,89.7%,84%,"*주간 바코드 각인 마킹 불량 (선명도 저하)
→ 설비보전팀 마킹 조건 변경 후 모니터링
*주간 PCB 핀 높이 단차 가성 불량
→ 검사지그 하강 위치 틀어짐. 지그 위치 조정"
47호기 - ARBURG 200T,#N/A, - , - , - ,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75%,"*주간 MGH, MEB5 공용 양산 관련 설비 개조 - 설비보전팀, 업체 내방
1. MEB5 S/P, P/P 금형 티칭 작업 완료
2. SERVO JOG BOX 설치
3. Core 분리 Unit test"
48호기 - 원일 200T,MEB5 ESCi HOUSING (S)," 2,097 ", 2 ," 2,099 ",15.66,12.86,2.80,12.24,99.9%,95.2%,82.1%,78.1%,87%,"*주간 다관절로보트 콜렛 가이드 휨
→ 콜렛 이탈로 인한 간섭. 콜렛 가이드 교체
*주간 S/P 미스 피딩 (2회). 릴 피딩 위치 재조정
*주간 다관절로보트 부쉬 자재 픽업 위치 이상
→ 배열판 지그 위치 재셋팅, 다관절로보트 인서트 위치 조정
*야간 에젝터 상승 이상 알람. 설비 점검
*야간 P/P 피딩 체크 하강 센서 인식 이상. 센서 위치 조정"
